sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
Qian2020,Fibroblast,ARMC3,2853,11,0.00385559060637925,3.6220349520376827
Qian2020,Mesenchymal cell,ARMC3,512,1,0.001953125,2.373061608363211
Qian2020,Endothelial cell,ARMC3,1059,12,0.0113314447592068,2.718237705839611
Qian2020,Monocyte,ARMC3,603,0,0.0,
Qian2020,Dendritic cell,ARMC3,731,4,0.005471956224350205,4.19513186567824
Qian2020,Oocyte,ARMC3,979,117,0.1195097037793667,2.4558093454200027
Qian2020,Microglial cell,ARMC3,315,2,0.006349206349206349,3.2626498289171524
Qian2020,T cell,ARMC3,546,4,0.007326007326007326,4.091908574029571
Qian2020,Luminal progenitor cell,ARMC3,1333,259,0.1942985746436609,4.914153071915746
Qian2020,Macrophage,ARMC3,771,3,0.0038910505836575876,3.9883118530933004
Qian2020,Hemangioblast,ARMC3,87,0,0.0,
Qian2020,Basal epithelial cell,ARMC3,305,0,0.0,
Qian2020,Plasmacytoid dendritic cell,ARMC3,300,2,0.006666666666666667,1.9996494499068365
Qian2020,Neutrophil,ARMC3,348,1,0.0028735632183908046,5.023018051007478
Qian2020,CD4+ T cell,ARMC3,816,0,0.0,
Qian2020,Luminal epithelial cell,ARMC3,1316,80,0.060790273556231005,3.6767146438278133
Qian2020,Meiotic prophase fetal germ cell,ARMC3,130,92,0.7076923076923077,5.987861173431956
Qian2020,Epithelial cell,ARMC3,720,43,0.059722222222222225,2.7209481118177057
Qian2020,Decidual cell,ARMC3,1124,13,0.011565836298932384,3.3573046487375393
Qian2020,Retinoid acid signaling-responsive fetal germ cell,ARMC3,886,44,0.04966139954853273,3.0918841377429653
Qian2020,Fibroblast,ARX,2853,30,0.010515247108307046,6.8085608578332675
Qian2020,Mesenchymal cell,ARX,512,0,0.0,
Qian2020,Endothelial cell,ARX,1059,3,0.0028328611898017,4.957465324632895
Qian2020,Monocyte,ARX,603,2,0.003316749585406302,6.821629155965486
Qian2020,Dendritic cell,ARX,731,6,0.008207934336525308,6.15064056909583
Qian2020,Oocyte,ARX,979,10,0.010214504596527068,6.42041088397408
Qian2020,Microglial cell,ARX,315,2,0.006349206349206349,5.242348198154557
Qian2020,T cell,ARX,546,9,0.016483516483516484,7.2637072386809605
Qian2020,Luminal progenitor cell,ARX,1333,6,0.00450112528132033,4.023650319460455
Qian2020,Macrophage,ARX,771,0,0.0,
Qian2020,Hemangioblast,ARX,87,0,0.0,
