sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
Regner2021,Epithelial cell,ARMC3,3914,121,0.03091466530403679,2.489301922147113
Regner2021,T cell,ARMC3,1900,3,0.0015789473684210526,3.817775969715413
Regner2021,Endothelial cell,ARMC3,4543,1,0.00022011886418666079,3.487632117807786
Regner2021,Basal epithelial cell,ARMC3,1917,0,0.0,
Regner2021,Mesenchymal cell,ARMC3,4375,3,0.0006857142857142857,3.8995851999833113
Regner2021,Epithelial-mesenchymal cell,ARMC3,2489,5,0.002008838891120932,3.6909716151236838
Regner2021,Dendritic cell,ARMC3,4867,1,0.0002054653790836244,3.827056484194509
Regner2021,Oogenesis phase fetal germ cell,ARMC3,1320,1128,0.8545454545454545,6.368866195347577
Regner2021,Mesoderm cell,ARMC3,2714,1,0.00036845983787767134,2.0993675393485267
Regner2021,Plasmacytoid dendritic cell,ARMC3,345,1,0.002898550724637681,2.0344381697133547
Regner2021,Fibroblast,ARMC3,4452,3,0.0006738544474393531,5.840890938497526
Regner2021,Oocyte,ARMC3,3453,5,0.0014480162177816392,2.5817890169476536
Regner2021,Retinoid acid signaling-responsive fetal germ cell,ARMC3,111,7,0.06306306306306306,1.6128819939398493
Regner2021,Microglial cell,ARMC3,507,0,0.0,
Regner2021,Granulosa cell,ARMC3,3043,0,0.0,
Regner2021,Trophectoderm cell,ARMC3,1588,12,0.007556675062972292,1.178028246682891
Regner2021,Migration phase fetal germ cell,ARMC3,4579,38,0.008298755186721992,2.3587280445753804
Regner2021,Luminal progenitor cell,ARMC3,2442,8,0.003276003276003276,1.7039722571686517
Regner2021,Luminal epithelial cell,ARMC3,3833,63,0.01643621184450822,1.5935047298825205
Regner2021,Decidual cell,ARMC3,3883,0,0.0,
Regner2021,Meiotic prophase fetal germ cell,ARMC3,146,0,0.0,
Regner2021,Basophil,ARMC3,616,15,0.024350649350649352,2.935315716655229
Regner2021,Mitotic arrest phase fetal germ cell,ARMC3,475,2,0.004210526315789474,1.4557968809589343
Regner2021,Epithelial cell,CTAG2,3914,0,0.0,
Regner2021,T cell,CTAG2,1900,1,0.0005263157894736842,4.8030682751290765
Regner2021,Endothelial cell,CTAG2,4543,3,0.0006603565925599824,3.1650539248843743
Regner2021,Basal epithelial cell,CTAG2,1917,0,0.0,
Regner2021,Mesenchymal cell,CTAG2,4375,10,0.002285714285714286,4.522517556423007
Regner2021,Epithelial-mesenchymal cell,CTAG2,2489,0,0.0,
Regner2021,Dendritic cell,CTAG2,4867,8,0.0016437230326689953,3.997882797182204
Regner2021,Oogenesis phase fetal germ cell,CTAG2,1320,36,0.02727272727272727,4.748033113027737
Regner2021,Mesoderm cell,CTAG2,2714,0,0.0,
Regner2021,Plasmacytoid dendritic cell,CTAG2,345,1,0.002898550724637681,2.623903531823692
Regner2021,Fibroblast,CTAG2,4452,3,0.0006738544474393531,3.177174755709702
Regner2021,Oocyte,CTAG2,3453,1,0.0002896032435563278,3.454684288352391
Regner2021,Retinoid acid signaling-responsive fetal germ cell,CTAG2,111,0,0.0,
Regner2021,Microglial cell,CTAG2,507,0,0.0,
Regner2021,Granulosa cell,CTAG2,3043,0,0.0,
Regner2021,Trophectoderm cell,CTAG2,1588,0,0.0,
Regner2021,Migration phase fetal germ cell,CTAG2,4579,0,0.0,
Regner2021,Luminal progenitor cell,CTAG2,2442,2176,0.8910728910728911,4.750367101860039
Regner2021,Luminal epithelial cell,CTAG2,3833,0,0.0,
Regner2021,Decidual cell,CTAG2,3883,18,0.004635591037857327,4.175755243160532
Regner2021,Meiotic prophase fetal germ cell,CTAG2,146,0,0.0,
Regner2021,Basophil,CTAG2,616,0,0.0,
Regner2021,Mitotic arrest phase fetal germ cell,CTAG2,475,0,0.0,
Regner2021,Epithelial cell,CTCFL,3914,60,0.015329586101175269,6.423397738156869
Regner2021,T cell,CTCFL,1900,0,0.0,
Regner2021,Endothelial cell,CTCFL,4543,27,0.005943209333039842,7.843014004418887
Regner2021,Basal epithelial cell,CTCFL,1917,7,0.0036515388628064684,9.202234760012344
Regner2021,Mesenchymal cell,CTCFL,4375,8,0.0018285714285714285,9.665398006633101
Regner2021,Epithelial-mesenchymal cell,CTCFL,2489,11,0.0044194455604660505,9.567077527262695
Regner2021,Dendritic cell,CTCFL,4867,2,0.0004109307581672488,9.46313061906326
Regner2021,Oogenesis phase fetal germ cell,CTCFL,1320,10,0.007575757575757576,4.146260057794598
Regner2021,Mesoderm cell,CTCFL,2714,4,0.0014738393515106854,9.487350604457578
Regner2021,Plasmacytoid dendritic cell,CTCFL,345,0,0.0,
Regner2021,Fibroblast,CTCFL,4452,15,0.0033692722371967657,8.992993288440797
Regner2021,Oocyte,CTCFL,3453,166,0.04807413843035042,6.59817191694311
