sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
Shih2018,Epithelial-mesenchymal cell,ARMC3,140,0,0.0,
Shih2018,Dendritic cell,ARMC3,232,0,0.0,
Shih2018,Luminal progenitor cell,ARMC3,162,1,0.006172839506172839,10.0
Shih2018,T cell,ARMC3,356,0,0.0,
Shih2018,Luminal epithelial cell,ARMC3,773,16,0.02069857697283312,4.519616379034252
Shih2018,Basal epithelial cell,ARMC3,212,0,0.0,
Shih2018,Natural killer (NK) cell,ARMC3,95,0,0.0,
Shih2018,Endothelial cell,ARMC3,132,0,0.0,
Shih2018,Fibroblast,ARMC3,417,0,0.0,
Shih2018,Epithelial cell,ARMC3,151,33,0.2185430463576159,7.371100447498431
Shih2018,B cell,ARMC3,112,0,0.0,
Shih2018,Mesenchymal cell,ARMC3,70,0,0.0,
Shih2018,Epithelial-mesenchymal cell,CASC5,140,0,0.0,
Shih2018,Dendritic cell,CASC5,232,1,0.004310344827586207,10.0
Shih2018,Luminal progenitor cell,CASC5,162,0,0.0,
Shih2018,T cell,CASC5,356,0,0.0,
Shih2018,Luminal epithelial cell,CASC5,773,4,0.00517464424320828,7.1199855549561875
Shih2018,Basal epithelial cell,CASC5,212,0,0.0,
Shih2018,Natural killer (NK) cell,CASC5,95,0,0.0,
Shih2018,Endothelial cell,CASC5,132,0,0.0,
Shih2018,Fibroblast,CASC5,417,0,0.0,
Shih2018,Epithelial cell,CASC5,151,0,0.0,
Shih2018,B cell,CASC5,112,0,0.0,
Shih2018,Mesenchymal cell,CASC5,70,0,0.0,
Shih2018,Epithelial-mesenchymal cell,CEP290,140,2,0.014285714285714285,4.536280460777679
Shih2018,Dendritic cell,CEP290,232,7,0.03017241379310345,3.9780926340509546
Shih2018,Luminal progenitor cell,CEP290,162,11,0.06790123456790123,4.122432226781187
Shih2018,T cell,CEP290,356,7,0.019662921348314606,6.500918923810622
Shih2018,Luminal epithelial cell,CEP290,773,27,0.03492884864165589,3.7182088014682866
Shih2018,Basal epithelial cell,CEP290,212,6,0.02830188679245283,5.9608972751766
Shih2018,Natural killer (NK) cell,CEP290,95,3,0.031578947368421054,6.72360973743475
Shih2018,Endothelial cell,CEP290,132,1,0.007575757575757576,5.607829748458391
Shih2018,Fibroblast,CEP290,417,20,0.047961630695443645,3.4967061590638315
Shih2018,Epithelial cell,CEP290,151,16,0.10596026490066225,6.191874542898477
Shih2018,B cell,CEP290,112,2,0.017857142857142856,5.462428857999727
Shih2018,Mesenchymal cell,CEP290,70,3,0.04285714285714286,4.330051961142755
Shih2018,Epithelial-mesenchymal cell,CRISP2,140,0,0.0,
Shih2018,Dendritic cell,CRISP2,232,0,0.0,
Shih2018,Luminal progenitor cell,CRISP2,162,3,0.018518518518518517,10.0
Shih2018,T cell,CRISP2,356,0,0.0,
Shih2018,Luminal epithelial cell,CRISP2,773,2,0.00258732212160414,5.591985272348969
Shih2018,Basal epithelial cell,CRISP2,212,0,0.0,
Shih2018,Natural killer (NK) cell,CRISP2,95,0,0.0,
Shih2018,Endothelial cell,CRISP2,132,0,0.0,
Shih2018,Fibroblast,CRISP2,417,1,0.002398081534772182,10.0
Shih2018,Epithelial cell,CRISP2,151,0,0.0,
Shih2018,B cell,CRISP2,112,0,0.0,
Shih2018,Mesenchymal cell,CRISP2,70,0,0.0,
Shih2018,Epithelial-mesenchymal cell,CTCFL,140,0,0.0,
Shih2018,Dendritic cell,CTCFL,232,0,0.0,
Shih2018,Luminal progenitor cell,CTCFL,162,1,0.006172839506172839,10.0
Shih2018,T cell,CTCFL,356,0,0.0,
Shih2018,Luminal epithelial cell,CTCFL,773,23,0.029754204398447608,7.606790713485112
Shih2018,Basal epithelial cell,CTCFL,212,0,0.0,
Shih2018,Natural killer (NK) cell,CTCFL,95,0,0.0,
Shih2018,Endothelial cell,CTCFL,132,0,0.0,
Shih2018,Fibroblast,CTCFL,417,1,0.002398081534772182,10.0
