sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
Zhang2019,Granulosa cell,ARX,128,72,0.5625,2.1046769817790523
Zhang2019,Trophectoderm cell,ARX,670,6,0.008955223880597015,0.7448788207346403
Zhang2019,T cell,ARX,21,1,0.047619047619047616,1.8524025161446342
Zhang2019,Mesenchymal cell,ARX,161,1,0.006211180124223602,0.8840206803072232
Zhang2019,Endothelial cell,ARX,306,3,0.00980392156862745,2.2738398390131613
Zhang2019,CD4+ T cell,ARX,652,265,0.40644171779141103,3.2372156075185856
Zhang2019,Fibroblast,ARX,249,87,0.3493975903614458,1.7962556981034383
Zhang2019,Squamous cell,ARX,136,1,0.007352941176470588,1.0742299257362595
Zhang2019,Dendritic cell,ARX,83,1,0.012048192771084338,1.3059433759392542
Zhang2019,Migration phase fetal germ cell,ARX,97,4,0.041237113402061855,1.2614197546560666
Zhang2019,Basal epithelial cell,ARX,87,4,0.04597701149425287,1.9355453923827644
Zhang2019,Mesodermal embryonic stem cell,ARX,24,0,0.0,
Zhang2019,Plasmacytoid dendritic cell,ARX,11,0,0.0,
Zhang2019,Luminal epithelial cell,ARX,584,1,0.0017123287671232876,0.9838224479195005
Zhang2019,Mitotic fetal germ cell,ARX,303,0,0.0,
Zhang2019,Erythrocyte,ARX,359,0,0.0,
Zhang2019,Embryonic stem cell,ARX,366,0,0.0,
Zhang2019,Plasma cell,ARX,14,0,0.0,
Zhang2019,Granulosa cell,CEP55,128,1,0.0078125,2.746600476956729
Zhang2019,Trophectoderm cell,CEP55,670,31,0.04626865671641791,1.7109634681277666
Zhang2019,T cell,CEP55,21,6,0.2857142857142857,4.554917368312496
Zhang2019,Mesenchymal cell,CEP55,161,16,0.09937888198757763,5.61118371652813
Zhang2019,Endothelial cell,CEP55,306,8,0.026143790849673203,4.449253996664515
Zhang2019,CD4+ T cell,CEP55,652,3,0.004601226993865031,5.318510511474388
Zhang2019,Fibroblast,CEP55,249,1,0.004016064257028112,2.3618747781343474
Zhang2019,Squamous cell,CEP55,136,16,0.11764705882352941,3.305036789654077
Zhang2019,Dendritic cell,CEP55,83,3,0.03614457831325301,1.9313084453436995
Zhang2019,Migration phase fetal germ cell,CEP55,97,88,0.9072164948453608,4.582363866557185
Zhang2019,Basal epithelial cell,CEP55,87,2,0.022988505747126436,4.16136144792222
Zhang2019,Mesodermal embryonic stem cell,CEP55,24,0,0.0,
