,group,names,scores,logfoldchanges,pvals,pvals_adj
0,0,NPC2,84.69521,2.944364,0.0,0.0
1,0,HLA-DRA,84.43824,3.3912425,0.0,0.0
2,0,FTL,84.23309,2.2509556,0.0,0.0
3,0,HLA-DRB1,81.438354,3.3265097,0.0,0.0
4,0,CD74,80.22502,2.920143,0.0,0.0
5,0,SPP1,79.11768,4.209295,0.0,0.0
6,0,CST3,78.12971,2.5699756,0.0,0.0
7,0,SAT1,77.237686,2.5233345,0.0,0.0
8,0,FTH1,77.22921,1.5852895,0.0,0.0
9,0,HLA-DQB1,75.11137,3.3607366,0.0,0.0
10,1,TYROBP,65.35739,4.5031075,0.0,0.0
11,1,AIF1,59.298515,3.9905317,0.0,0.0
12,1,LYZ,59.243473,4.57066,0.0,0.0
13,1,TMSB10,58.223072,1.79402,0.0,0.0
14,1,FCER1G,56.900948,3.6814137,0.0,0.0
15,1,FTL,55.916176,2.3701644,0.0,0.0
16,1,LST1,55.851406,4.0711894,0.0,0.0
17,1,CTSS,54.3653,3.5008104,0.0,0.0
18,1,FTH1,52.574123,1.7261288,0.0,0.0
19,1,CD68,52.437466,3.657949,0.0,0.0
20,2,YWHAE,85.13192,3.8386846,0.0,0.0
21,2,MDK,84.22622,3.7239838,0.0,0.0
22,2,KRT18,83.00588,4.1799836,0.0,0.0
23,2,KRT8,82.35161,4.033438,0.0,0.0
24,2,MTCH1,81.55496,3.6546123,0.0,0.0
25,2,CD9,79.71533,3.8936853,0.0,0.0
26,2,HSP90AB1,78.4929,2.7935464,0.0,0.0
27,2,WFDC2,77.46525,3.338583,0.0,0.0
28,2,SPINT2,77.166595,4.158075,0.0,0.0
29,2,MMP7,73.810196,4.4729767,0.0,0.0
30,3,COL3A1,54.726284,4.36068,0.0,0.0
31,3,NNMT,51.926575,3.4668634,0.0,0.0
32,3,CTHRC1,51.435734,4.3527403,0.0,0.0
33,3,SPARC,51.098167,3.8873808,0.0,0.0
34,3,COL1A2,50.417797,4.145984,0.0,0.0
35,3,CALD1,49.722214,3.5938003,0.0,0.0
36,3,CD63,48.319572,2.0574307,0.0,0.0
37,3,COL1A1,48.20826,3.9819393,0.0,0.0
38,3,DCN,47.664394,3.8974545,0.0,0.0
39,3,TPM2,45.998024,3.0409365,0.0,0.0
40,4,B2M,58.13234,1.4926399,0.0,0.0
41,4,LTB,47.79615,4.017265,0.0,0.0
42,4,BTG1,47.74545,2.0542572,0.0,0.0
43,4,TRAC,46.5839,3.2698896,0.0,0.0
44,4,HLA-B,45.522984,1.3925756,0.0,0.0
45,4,RPS4X,41.509846,0.75149226,0.0,0.0
46,4,CORO1A,39.353207,2.3792646,0.0,0.0
47,4,CXCR4,39.277306,2.0466022,0.0,0.0
48,4,IL32,38.810524,2.01436,0.0,0.0
49,4,CD2,38.801067,2.935089,0.0,0.0
50,5,GNG11,44.156895,4.9639654,0.0,0.0
51,5,IGFBP7,43.72386,4.541171,0.0,0.0
52,5,RAMP2,42.910526,6.439734,0.0,0.0
53,5,VWF,41.814034,6.0539937,0.0,0.0
54,5,SPARCL1,40.206276,4.335179,0.0,0.0
55,5,ECSCR,40.01446,6.798171,0.0,0.0
56,5,PECAM1,39.751587,5.051867,0.0,0.0
57,5,FKBP1A,39.600246,2.66129,0.0,0.0
58,5,HSPG2,39.24691,4.3207774,0.0,0.0
59,5,CLDN5,38.6883,6.2328744,0.0,0.0
60,6,GZMB,20.273535,7.4531884,2.20252407951559e-91,3.3760289090814965e-87
61,6,JCHAIN,20.09696,6.711554,7.845423948119905e-90,6.0127329138390955e-86
62,6,GPR183,19.320145,5.02993,3.6363181845567665e-83,1.8579161710962038e-79
63,6,IRF7,17.973694,5.1922154,3.131521539428482e-72,1.1999990539089945e-68
64,6,PLAC8,17.788078,5.96934,8.742794967832541e-71,2.680191225338744e-67
65,6,AREG,17.304487,5.045938,4.351421942327824e-67,1.1116432588666814e-63
66,6,ALOX5AP,16.958065,3.6985412,1.6778028616905462e-64,3.673908894856099e-61
67,6,C12orf75,16.777573,3.9948208,3.5609935797118877e-63,6.822863698727977e-60
68,6,RPS3A,16.557173,1.0628654,1.42114656877688e-61,2.4203705118013352e-58
69,6,TSPAN13,16.338757,5.6779666,5.23088264918887e-60,8.017896924676699e-57
70,7,NKG7,33.87155,4.9492483,1.748311174199349e-251,2.6798113678127622e-247
71,7,KLRD1,32.416813,6.4659505,1.5908140897943553e-230,1.219199918418394e-226
