,group,names,scores,logfoldchanges,pvals,pvals_adj
0,0,C1QA,67.31714,4.5051913,0.0,0.0
1,0,RNASE1,66.48004,4.129392,0.0,0.0
2,0,C1QB,64.83231,4.351806,0.0,0.0
3,0,APOE,64.516045,4.3664207,0.0,0.0
4,0,CFD,63.583645,3.6939893,0.0,0.0
5,0,C1QC,62.44835,4.0194936,0.0,0.0
6,0,PLTP,62.140526,3.1179793,0.0,0.0
7,0,FTL,59.03509,2.8727324,0.0,0.0
8,0,NUPR1,56.750362,3.2860477,0.0,0.0
9,0,MARCO,56.50971,3.233384,0.0,0.0
10,1,NKG7,21.8517,6.608059,7.489252446772863e-106,8.648588725533303e-102
11,1,CTSW,21.16118,6.9750147,2.177022109831907e-99,1.257012566216943e-95
12,1,GNLY,18.187828,6.544064,6.4443169905959796e-74,2.4806324202467455e-70
13,1,PTPRCAP,17.92368,4.7139077,7.705870908777006e-72,2.2246849313639216e-68
14,1,GZMA,17.766577,5.7398863,1.2828536630295713e-70,2.9628788201330977e-67
15,1,CORO1A,17.03923,2.9545877,4.202315704321743e-65,8.088056958917914e-62
16,1,CD7,17.011974,4.8925533,6.694381605346991e-65,1.1043816968363864e-61
17,1,EVL,16.744137,3.7310374,6.248959640437914e-63,9.020373240972128e-60
18,1,CD2,15.921573,5.652772,4.489455137113344e-57,5.1844227923384896e-54
19,1,HCST,15.705372,2.8333673,1.3896017738138143e-55,1.4588292076365389e-52
20,2,DCN,57.205868,6.408376,0.0,0.0
21,2,C1R,56.796432,5.677847,0.0,0.0
22,2,SPARC,56.28024,5.6920433,0.0,0.0
23,2,CCDC80,56.073673,5.434994,0.0,0.0
24,2,C1S,56.01334,5.3242507,0.0,0.0
25,2,SERPING1,56.00805,4.6617827,0.0,0.0
26,2,COL3A1,55.27308,5.553994,0.0,0.0
27,2,NNMT,55.133156,5.1748624,0.0,0.0
28,2,EGFL6,54.408634,5.3618,0.0,0.0
29,2,RARRES2,53.79927,4.862341,0.0,0.0
30,3,KRT8,27.31739,4.433905,2.636356230506528e-164,3.0444641749889385e-160
31,3,KRT18,27.262463,4.581346,1.1826974125240451e-163,6.828894859913836e-160
32,3,IGFBP6,27.152607,4.3622184,2.35877825436099e-162,7.689147660917453e-159
33,3,CFB,27.14814,4.676863,2.6633694703558894e-162,7.689147660917453e-159
34,3,ANXA2,26.973099,2.1608167,3.057416286314235e-160,7.061408654871357e-157
35,3,PRSS23,26.621153,3.7354267,3.8632343363916384e-156,7.435438352775106e-153
36,3,SERPINH1,26.449202,3.4658067,3.7267909568423805e-154,6.148140281373687e-151
37,3,PRKCDBP,26.368637,3.5756764,3.1380719424880146e-153,4.5298068489814487e-150
38,3,CNN3,26.359003,3.467519,4.046978648394975e-153,5.192723270185019e-150
39,3,THY1,26.328934,3.7282512,8.946528793665061e-153,1.0331451450924412e-149
40,4,WFDC2,26.096376,6.7888737,4.007867166267164e-150,4.6282850036053205e-146
41,4,KRT7,23.966179,5.632312,6.266909532664447e-127,2.4123423761069677e-123
42,4,EPCAM,23.11145,7.4347463,3.5519032495641497e-118,8.20347574519336e-115
43,4,IFI27,23.056776,4.898525,1.2578296777534515e-117,2.420902853116143e-114
44,4,RBP1,22.674744,5.4074974,7.954537877674699e-114,1.3122714773055347e-110
45,4,CLDN3,22.560186,7.336836,1.0667245026006109e-112,1.3687260617813172e-109
46,4,RPS21,22.511919,2.4126217,3.1724246163388064e-112,3.6635159469480537e-109
47,4,RPL35A,22.37411,1.8129867,7.034912426647e-111,6.769930725243296e-108
48,4,CD9,22.329899,4.561556,1.8935505998848294e-110,1.6820555636515393e-107
49,4,C19orf33,22.305391,5.520273,3.2756055819686424e-110,2.7019066614695633e-107
50,5,FCN1,43.35934,4.47466,0.0,0.0
51,5,RPL7,43.090366,4.2984257,0.0,0.0
52,5,SERPINA1,42.58793,3.461982,0.0,0.0
53,5,RPS3A,42.427998,2.5201795,0.0,0.0
54,5,HLA-DRA,42.176075,3.1133032,0.0,0.0
55,5,HLA-DRB1,42.140484,2.6088042,0.0,0.0
56,5,RPL21,42.13362,4.2320375,0.0,0.0
57,5,CD74,41.93832,2.6901848,0.0,0.0
58,5,RPL18A,41.02495,2.6053212,0.0,0.0
59,5,EEF1A1,40.98558,3.451832,0.0,0.0
60,6,FABP5,46.88295,4.3836737,0.0,0.0
61,6,GABARAP,42.862946,2.743369,0.0,0.0
62,6,RPS26,42.07464,3.3096716,0.0,0.0
63,6,RPS28,41.319256,2.1752279,0.0,0.0
64,6,RPL21,41.138985,4.1114016,0.0,0.0
65,6,RPS27,41.037243,3.3636682,0.0,0.0
66,6,RPS10,39.64799,2.7907672,0.0,0.0
67,6,RPL9,38.7966,2.88553,0.0,0.0
68,6,RPL41,38.461796,2.7240725,0.0,0.0
69,6,RPL7,37.735046,3.690366,0.0,0.0
70,7,MZB1,33.02618,11.160224,3.4195682387606026e-239,3.8377007038651374e-235
71,7,FKBP11,33.00607,6.8860188,6.6465200967529224e-239,3.8377007038651374e-235
72,7,XBP1,32.97445,5.620058,1.888239611112503e-238,7.268463676375728e-235
73,7,SEC11C,32.909252,5.1770616,1.6204783868211604e-237,4.67832110275269e-234
74,7,IGLL5,32.828346,8.46309,2.320943941502691e-236,5.360452127294615e-233
75,7,ISG20,32.765785,6.9791203,1.809404886836674e-235,3.482501272198319e-232
