,group,names,scores,logfoldchanges,pvals,pvals_adj
0,0,BTG1,47.86037,4.8474755,0.0,0.0
1,0,RPS15A,47.2918,2.2230117,0.0,0.0
2,0,RPS27,46.8387,2.3985486,0.0,0.0
3,0,RPL23A,46.826782,2.6414528,0.0,0.0
4,0,RPS29,46.38225,2.1592638,0.0,0.0
5,0,ARHGDIB,45.707817,4.781205,0.0,0.0
6,0,EIF1,45.67698,2.2959495,0.0,0.0
7,0,HNRNPA1,45.662502,2.5897853,0.0,0.0
8,0,RPL34,45.427784,2.1905546,0.0,0.0
9,0,SARAF,44.389324,3.6109,0.0,0.0
10,1,LAPTM5,33.435684,8.364469,4.155847021169701e-245,8.092680904323759e-241
11,1,SRGN,32.01194,7.7170696,7.43782681388163e-225,7.241840077335848e-221
12,1,TYROBP,31.18868,10.071952,1.517141628698105e-213,6.788022595936698e-210
13,1,HLA-DRA,30.770151,4.376526,6.5744074265618725e-208,1.828906225963419e-204
14,1,CTSS,29.258486,4.3894897,3.5021302275276016e-188,6.819698192064498e-185
15,1,AIF1,28.943594,8.630914,3.3787801378777417e-184,5.482915468741104e-181
16,1,B2M,28.785427,2.4423132,3.264913890170001e-182,4.890589860252341e-179
17,1,LCP1,28.4059,4.7795196,1.7097878598723654e-177,2.3781927853781836e-174
18,1,FCER1G,28.3437,10.707628,1.0008713788659609e-176,1.2993312240437905e-173
19,1,ITGB2,28.303734,6.396819,3.108949554294135e-176,3.783785916923106e-173
20,2,MALAT1,42.570396,3.679268,0.0,0.0
21,2,PNN,42.28973,3.4211948,0.0,0.0
22,2,DDX5,41.4212,2.4819055,0.0,0.0
23,2,NEAT1,41.002506,3.7764425,0.0,0.0
24,2,VMP1,40.105614,3.1958637,0.0,0.0
25,2,XIST,39.837074,3.9245803,0.0,0.0
26,2,DLG1,39.202953,3.6516721,0.0,0.0
27,2,TBL1XR1,35.847786,2.6660542,1.99114714597809e-281,3.3425524460027026e-279
28,2,AAK1,35.491642,2.8351836,6.614856218836859e-276,1.0558286487656568e-273
29,2,PNISR,35.481567,2.1606972,9.460152982070373e-276,1.4977037318687512e-273
30,3,H2AFJ,71.4102,3.177829,0.0,0.0
31,3,MLF2,69.32377,2.5042458,0.0,0.0
32,3,TPI1,65.55566,2.003322,0.0,0.0
