,group,names,scores,logfoldchanges,pvals,pvals_adj
0,0,CLU,46.051716,4.1843977,0.0,0.0
1,0,RPL30,40.818634,1.9758571,0.0,0.0
2,0,HSP90AB1,40.49474,1.8087001,0.0,0.0
3,0,FMOD,38.695564,4.6633425,0.0,0.0
4,0,RPS20,38.568783,1.502006,0.0,0.0
5,0,RPS18,38.183685,1.6131592,0.0,0.0
6,0,JUN,37.1682,1.9592389,2.228210022795121e-302,4.4678396219570666e-299
7,0,RPL7,36.251564,2.1994517,9.389463692197774e-288,1.6735154120727166e-284
8,0,PRELP,35.189697,4.4455414,2.874489469527558e-271,4.6109685580691555e-268
9,0,RPS27,35.043446,1.5975473,4.906924356630811e-269,7.155633964064985e-266
10,1,COL3A1,29.872763,5.2953568,4.445246516039544e-196,7.130619936379033e-192
11,1,CTSK,27.717327,4.41001,4.317197220702524e-169,3.462608030864459e-165
12,1,COL6A3,27.36331,4.286391,7.499783577033431e-165,4.010134278639775e-161
13,1,SPARC,26.271578,3.929899,4.052506462873602e-152,1.6251564042738862e-148
14,1,DCN,24.937538,4.1016006,2.9152791277682746e-137,9.352798497706179e-134
15,1,COL5A2,24.514742,3.4992733,1.0286357101249492e-132,2.7500575710190515e-129
16,1,COL1A2,23.792685,3.9453359,3.975988571904003e-125,9.111261811701731e-122
17,1,PTN,23.335316,4.344342,1.9428658529521295e-120,3.8956888934006384e-117
18,1,C12orf60,22.579374,3.9191158,6.911927570878596e-113,1.2319358907162618e-109
19,1,PRRX1,22.491716,3.6408253,5.002684592351216e-112,8.024806354590585e-109
20,2,COL1A2,52.501404,6.0837555,0.0,0.0
21,2,COL1A1,51.659428,6.0077286,0.0,0.0
22,2,LUM,49.129913,5.7545824,0.0,0.0
23,2,COL3A1,48.536392,5.6121387,0.0,0.0
24,2,DCN,46.923466,5.226754,0.0,0.0
25,2,CALD1,46.270844,3.8091204,0.0,0.0
26,2,VCAN,45.861053,5.0145545,0.0,0.0
27,2,SPARC,44.410816,4.4281483,0.0,0.0
28,2,COL6A3,43.359444,4.535137,0.0,0.0
29,2,COL8A1,41.852135,4.608006,0.0,0.0
30,3,C3,36.197308,5.2264614,6.711227640455146e-287,1.07654802580541e-282
31,3,CCDC80,35.051483,5.2900667,3.701237333138362e-269,2.968577403043623e-265
32,3,CXCL12,30.772058,5.2321634,6.199502794700736e-208,3.3148741443264836e-204
33,3,EGFL6,30.595194,5.540449,1.418112357295019e-205,5.68698508084235e-202
34,3,CLDN1,30.537477,5.649077,8.29252815513728e-205,2.660408882731142e-201
35,3,C1R,30.308685,3.4909139,8.808260700061841e-202,2.354888498161533e-198
36,3,PTGIS,29.071697,4.2347307,8.185063112800375e-186,1.8756656770347258e-182
37,3,EFEMP1,29.056494,4.768803,1.2739062118316795e-185,2.554341192998996e-182
38,3,CFI,28.01375,3.6608753,1.1049157655045932e-172,1.9693281993843534e-169
39,3,PIEZO2,27.903791,5.04314,2.399965823012746e-171,3.849785176694745e-168
40,4,IGFBP7,27.304876,5.169195,3.71219039973266e-164,5.954724620211159e-160
41,4,COL4A1,25.55863,5.902931,4.402552681388708e-144,3.531067378107813e-140
42,4,SPARCL1,25.378508,5.0472336,4.3558315701938e-142,2.329063140582625e-138
43,4,A2M,22.559475,4.1047826,1.084014932946249e-112,4.347170884847695e-109
44,4,COL4A2,21.652725,4.6762185,5.729137304282827e-104,1.8380218299600165e-100
45,4,CAV1,18.686068,3.6698093,6.4280764849016e-78,1.7185462482384426e-74
46,4,MCAM,18.629297,6.17388,1.859484355611773e-77,4.261141221195493e-74
47,4,EPAS1,17.727386,4.0185037,2.5773704203667476e-70,5.167949864137874e-67
48,4,CBL,17.568596,4.285532,4.2864862647462615e-69,7.639947352532754e-66
49,4,CAVIN1,17.051409,2.5703504,3.412117410739282e-65,5.473377538566882e-62
50,5,HLA.DRB1,40.69473,5.492584,0.0,0.0
51,5,HLA.DRA,40.67968,5.6945634,0.0,0.0
52,5,SRGN,38.578194,5.331279,0.0,0.0
53,5,HLA.DPB1,37.988613,5.281662,0.0,0.0
54,5,HLA.DPA1,37.741875,5.365698,0.0,0.0
55,5,CD74,37.42957,4.1949472,1.2914939009857927e-306,3.452808944285517e-303
56,5,TYROBP,36.25351,7.1019115,8.749131948433241e-288,2.004926079783109e-284
57,5,SAT1,33.665833,3.2916389,1.829070219416462e-248,3.667514423707433e-245
58,5,HLA.DRB5,32.843155,4.472902,1.4265156421017098e-236,2.542526379439281e-233
59,5,AIF1,32.802513,6.8196764,5.421451652704194e-236,8.696550596102797e-233
60,6,AC011483.2,23.590786,4.911996,4.791889838638727e-123,7.686670490160382e-119
61,6,KRT18,22.846535,3.4974551,1.5820622056864521e-115,1.2688929920708188e-111
62,6,SPINT2,22.224535,3.032943,1.9893400692701686e-109,1.0637001350387591e-105
63,6,EZR,21.76419,2.8765802,5.069763916510143e-105,2.0331020746184798e-101
64,6,KRT8,21.391409,3.3542452,1.606319746748574e-101,5.153395011518775e-98
65,6,EPCAM,19.994658,3.003028,6.12989416042419e-89,1.4750200292870725e-85
66,6,RPL22,19.99222,2.044038,6.436718536880186e-89,1.4750200292870725e-85
67,6,MAL,19.221062,4.406981,2.4666890410830855e-82,4.9460198635017214e-79
68,6,KRT19,18.594692,3.2907052,3.547410043983178e-77,5.690400451553416e-74
69,6,ERBB4,18.285118,4.465431,1.0872867840248385e-74,1.585560663867494e-71
70,7,MZB1,28.852491,8.607949,4.715141948328482e-183,7.563559199313717e-179
71,7,IGHG1,28.629932,10.016027,2.8499998318167484e-180,2.285842365108623e-176
72,7,IGHG3,28.55735,9.702503,2.2765912824598787e-179,1.2172933587312971e-175
73,7,SSR4,28.29698,4.7562375,3.764595268886812e-176,1.5096968177053335e-172
74,7,JCHAIN,26.628138,8.168761,3.2067453919108185e-156,1.0287880566328286e-152
75,7,IGHG2,26.012365,8.144087,3.5886777295865066e-149,9.594329910049525e-146
76,7,SEC11C,25.746391,4.868604,3.5378639680086778e-146,8.107267987261029e-143
77,7,IGHG4,25.525043,8.051136,1.0395308757805694e-143,2.0843893472995142e-140
78,7,XBP1,25.50327,4.5141487,1.8133227753044087e-143,3.2319456265175578e-140
79,7,ENAM,24.773361,7.8587904,1.7368748676821106e-135,2.7861209752488735e-132
80,8,PTPRC,40.101322,5.1669407,0.0,0.0
81,8,TMSB4X,34.82962,2.541016,8.664805529874985e-266,6.949607275236231e-262
82,8,CD2,32.665928,7.0822477,4.761108268286904e-234,2.5457645910530073e-230
83,8,B2M,32.184025,1.9811238,2.9531872064829787e-227,1.1843018994798364e-223
84,8,SRGN,31.7075,3.6911995,1.2245512704934941e-220,3.928605385997228e-217
85,8,FYB1,30.738304,4.683076,1.752558496301776e-207,4.685465139862798e-204
86,8,CD52,29.473364,4.8015614,6.320078328584279e-191,1.2672547058602552e-187
87,8,TRBC2,28.623976,6.459691,3.3805822543831603e-180,5.422791994256027e-177
88,8,CD96,28.093874,5.1619506,1.1638249066190113e-173,1.6971741206432328e-170
89,8,ACTB,26.959713,1.6496557,4.3888095930417546e-160,5.866741223498565e-157
90,9,GZMB,11.677558,8.399181,1.6599567343982261e-31,2.6627365976481943e-27
91,9,FCHSD2,10.832953,5.258253,2.4027918021345514e-27,1.9271591649020167e-23
92,9,PLAC8,10.126988,6.8212495,4.1936589485468626e-24,2.2423494397880074e-20
93,9,TCF4,10.023969,4.307581,1.1960207368080624e-23,4.796342159784532e-20
94,9,IRF7,9.514669,5.7238708,1.8229169419646206e-21,5.848282133210895e-18
95,9,RGS2,9.292564,4.5299315,1.5061469868775956e-20,4.0266839694172513e-17
96,9,JCHAIN,9.255709,5.080589,2.1281467933104206e-20,4.8768003873560655e-17
97,9,SEL1L3,9.209853,4.970263,3.26572307243036e-20,6.548182975606924e-17
98,9,IRF8,9.175012,6.6088505,4.5152707175960894e-20,8.047717508995431e-17
99,9,CXCR4,9.143178,4.3486013,6.0643212907809e-20,9.727777782541641e-17
100,10,MS4A1,27.969131,8.49995,3.8585635702359854e-172,6.189521823015544e-168
101,10,BANK1,25.319479,6.712192,1.949511833898887e-141,1.5636059663786023e-137
102,10,HLA.DRA,24.198633,3.813024,2.2996587558077077e-129,1.2296275367303812e-125
103,10,IGHM,23.952053,6.601332,8.795914353821089e-127,3.527381553741102e-123
104,10,CD74,23.415792,3.3638837,2.950956827689423e-121,9.467259694593206e-118
105,10,CD37,21.94729,5.2579103,9.191865673311147e-107,2.457445287759735e-103
106,10,AFF3,20.908585,5.4662085,4.473090759922468e-97,1.0250406982845189e-93
107,10,IGKC,20.715881,3.01612,2.4910922151257795e-95,4.994951277854078e-92
108,10,CD52,20.295544,4.4168196,1.4078657782213004e-91,2.0530522680407164e-88
109,10,HLA.DPA1,20.016014,3.3603127,3.994310737207731e-89,5.3393948779624336e-86
110,11,RPL8,46.189022,4.222021,0.0,0.0
111,11,CYC1,42.734894,5.2903147,0.0,0.0
112,11,IFI27,42.25868,4.3776684,0.0,0.0
113,11,LY6E,41.261314,4.670232,0.0,0.0
114,11,HSPE1,40.90909,3.6077802,0.0,0.0
115,11,S100A6,39.990414,2.8451238,0.0,0.0
116,11,CDKN2A,39.961754,5.605816,0.0,0.0
117,11,TPI1,39.55158,3.6112163,0.0,0.0
118,11,BST2,38.99764,3.9175687,0.0,0.0
119,11,RPS14,38.027557,1.9230751,0.0,0.0
120,12,URI1,40.429764,3.7761908,0.0,0.0
121,12,MEIS1,36.934013,3.2257416,1.3152394020347094e-298,4.219551049607754e-295
122,12,UQCRFS1,34.69762,3.137626,8.557261494585582e-264,1.960957594780676e-260
123,12,WFDC2,34.483997,3.1675162,1.3937460371274076e-260,2.794635022695093e-257
124,12,LINC00621,33.51431,4.556856,2.982615026375336e-246,5.31601418200964e-243
125,12,ESR1,33.159397,3.2824116,4.1463163567510325e-241,6.651106067864331e-238
126,12,NEAT1,33.052067,2.4244184,1.4527392965561097e-239,2.1184900960051417e-236
127,12,UGT2B7,32.8674,3.9502296,6.42673142956254e-237,8.590933238467725e-234
128,12,FAAH2,32.440094,4.0708776,7.471867535529712e-231,9.21970977980247e-228
