,group,names,scores,logfoldchanges,pvals,pvals_adj
0,0,DCN,39.15531,5.1628656,0.0,0.0
1,0,SERPINF1,38.52885,4.354187,0.0,0.0
2,0,CCDC80,37.993645,4.8913383,0.0,0.0
3,0,FSTL1,37.98118,4.131796,0.0,0.0
4,0,MGP,36.68169,5.345848,1.4305098547229118e-294,5.943291609755458e-291
5,0,LUM,36.37785,4.740346,9.537715491790192e-290,3.3965167397049415e-286
6,0,C1R,36.2938,3.8607259,2.0265417548107898e-288,6.314704107990421e-285
7,0,C1S,36.11941,3.485462,1.1245534641958732e-285,3.1147631950527475e-282
8,0,MFAP4,36.061268,4.145977,9.184123960130966e-285,2.289418420781447e-281
9,0,FBLN2,36.018093,5.3706923,4.357954688035659e-284,9.875917678486628e-281
10,1,RAMP2,35.967995,5.3375735,2.648815317811804e-283,6.602966824241265e-279
11,1,NPDC1,35.179916,4.233836,4.056104066335237e-271,5.05552810828024e-267
12,1,EGFL7,35.07998,6.4875298,1.3616498112234565e-269,1.1314402164726108e-265
13,1,VWF,34.83054,7.938902,8.391503656778119e-266,5.229585078904124e-262
14,1,ECSCR.1,34.734894,7.592521,2.343653912835484e-264,1.168452094783259e-260
15,1,GNG11,34.134613,3.6141202,2.2621068096070854e-255,9.398299758314237e-252
16,1,PECAM1,33.873592,5.82186,1.631404662564109e-251,5.80966506119973e-248
17,1,CLEC14A,33.54187,8.620175,1.1828046317693275e-246,3.6856192325932246e-243
18,1,SPARCL1,33.53775,4.1737847,1.3583853410859263e-246,3.7624255313988857e-243
19,1,A2M,32.943764,4.214297,5.196442573651157e-238,1.2953692047597604e-234
20,2,NNMT,42.104134,3.4463034,0.0,0.0
21,2,COL8A1,40.558247,3.8575134,0.0,0.0
22,2,CYR61,40.383358,3.8077214,0.0,0.0
23,2,PDLIM3,39.705868,3.4859831,0.0,0.0
24,2,MT2A,38.884968,3.3378155,0.0,0.0
25,2,LXN,37.781666,3.100582,0.0,0.0
26,2,COL1A1,37.61942,4.752176,1.034980302244954e-309,3.6857127106231717e-306
27,2,CCDC80,37.427845,3.161627,1.3774985381902642e-306,4.2922854450008635e-303
28,2,COL1A2,37.417698,4.4569597,2.0145124154934134e-306,5.57975172149109e-303
29,2,RARRES1,37.274746,3.283447,4.211251056835108e-304,1.0497806634478557e-300
30,3,MTCH1,47.17866,2.9873857,0.0,0.0
31,3,PAX8,46.31924,4.6852264,0.0,0.0
32,3,FBXO2,45.799034,5.452496,0.0,0.0
33,3,COL9A2,45.29748,5.6218247,0.0,0.0
34,3,BSG,44.919945,2.3135715,0.0,0.0
35,3,IGF2BP2,44.84007,4.0061803,0.0,0.0
36,3,COL9A3,44.40519,5.7933936,0.0,0.0
37,3,KRT17,43.938564,5.881367,0.0,0.0
38,3,LHX1,43.752888,5.518178,0.0,0.0
39,3,STMN1,43.359653,3.166368,0.0,0.0
40,4,HLA-DRA,39.110764,5.891693,0.0,0.0
41,4,SRGN,38.85264,5.1417336,0.0,0.0
42,4,HLA-DRB1,38.470177,5.2999363,0.0,0.0
43,4,LYZ,38.464615,5.9807673,0.0,0.0
44,4,HLA-DPB1,38.40853,5.555397,0.0,0.0
45,4,C1orf162,38.240623,5.109234,0.0,0.0
46,4,HLA-DPA1,38.196053,5.394609,0.0,0.0
47,4,CD74,38.18092,5.249549,0.0,0.0
48,4,HLA-DMA,38.04634,4.3575025,0.0,0.0
49,4,HLA-DRB5,37.974476,5.114097,0.0,0.0
50,5,PLA2G2A,36.17975,7.2031426,1.2677152502167995e-286,3.1601605757404382e-282
51,5,HP,35.982616,7.7438865,1.5646002528903542e-283,1.9501177552025378e-279
52,5,ADH1B,35.251778,6.1751337,3.2223607802493034e-272,2.677566984335154e-268
53,5,RARRES1,35.12221,4.9337306,3.0882609591003104e-270,1.9246042297113135e-266
54,5,CALB2,34.94425,5.758639,1.5834722687847127e-267,7.894559343253063e-264
55,5,MT1E,34.89066,4.148548,1.0301576656654544e-266,4.2799617149514076e-263
56,5,UPK3B,34.73628,5.036069,2.233304907533888e-264,7.953117819286393e-261
57,5,OGN,34.669598,4.636053,2.263362803316028e-263,7.052638495132743e-260
58,5,GAS1,34.388103,4.4515066,3.7975149588926503e-259,1.0518272543919554e-255
59,5,BCHE,34.28458,5.303075,1.332181770252207e-257,3.3208627168847015e-254
60,6,LAPTM5,57.15133,4.993368,0.0,0.0
61,6,AIF1,56.854156,5.4259377,0.0,0.0
62,6,TYROBP,56.83351,5.806461,0.0,0.0
63,6,FCER1G,56.798218,5.3753915,0.0,0.0
64,6,GPX1,56.499718,2.9274263,0.0,0.0
65,6,SPI1,54.8935,5.0075,0.0,0.0
66,6,CD68,54.487137,4.519268,0.0,0.0
67,6,FTL,54.148354,2.4847007,0.0,0.0
68,6,ITGB2,53.48356,4.4443283,0.0,0.0
69,6,HLA-DRA,52.9908,4.7167945,0.0,0.0
70,7,TIMP1,33.756733,2.6722934,8.516023685384929e-250,2.1228743842927555e-245
71,7,CCDC80,33.27246,3.611929,9.664263657893255e-243,1.2045538223198155e-238
72,7,IGFBP4,31.72336,2.7684371,7.401309835885637e-221,6.149995052965239e-217
73,7,RARRES2,30.386112,2.360412,8.381558192635959e-203,5.22338706565073e-199
74,7,PTGDS,29.811647,3.7339127,2.759670003906957e-195,1.3758610771478523e-191
75,7,COL3A1,29.505411,4.006954,2.453720556116669e-191,1.0194391003812722e-187
76,7,IGFBP2,29.343788,3.0837936,2.8679785529417896e-189,1.0213281338247561e-185
77,7,COL1A1,29.07313,4.1869464,7.850735892647372e-186,2.4462893041489214e-182
78,7,SPARC,29.025217,3.2045503,3.1628897051379176e-185,8.760501618853112e-182
79,7,BGN,28.391323,2.9058108,2.5879132309751408e-177,6.45115010217483e-174
80,8,CD52,31.721155,5.936199,7.93830068858597e-221,1.978859595650711e-216
81,8,IL32,30.414673,4.931798,3.5141317015562457e-203,4.380013752819705e-199
82,8,TRAC,30.253666,6.4023466,4.668990905568419e-201,3.879620176466985e-197
83,8,CORO1A,29.721474,4.734004,4.054086106155842e-194,2.5265064613563205e-190
84,8,RAC2,29.050907,4.882958,1.4987187867282487e-185,7.472012383112356e-182
85,8,CD2,28.339304,6.54662,1.1338407134515806e-176,4.710730217486833e-173
86,8,HCST,27.981836,4.2293143,2.70312699698525e-172,9.626221397264045e-169
87,8,CD3E,27.563992,6.679296,3.0080872008247498e-167,9.373199717769921e-164
88,8,ARHGDIB,27.159035,3.4519055,1.9804932917786118e-162,4.936973677745723e-159
89,8,CD3D,27.03428,6.5618773,5.845975644074698e-161,1.3248043714135825e-157
90,9,IGFBP7,28.10114,5.081434,9.487069223248143e-174,2.3649366159712972e-169
91,9,NDUFA4L2,27.665672,7.146126,1.8080981316735474e-168,2.2536135113179095e-164
92,9,RGS5,27.408728,8.038302,2.1584013515190064e-165,1.7934876296888596e-161
