,group,names,scores,logfoldchanges,pvals,pvals_adj
0,0,COL1A2,50.62723,4.9398746,0.0,0.0
1,0,COL1A1,49.672718,5.4565544,0.0,0.0
2,0,COL3A1,49.553604,5.125518,0.0,0.0
3,0,SPARC,49.230255,4.2043266,0.0,0.0
4,0,COL8A1,48.216152,4.63465,0.0,0.0
5,0,NNMT,47.455658,3.771859,0.0,0.0
6,0,CCN1,47.371822,4.636834,0.0,0.0
7,0,BGN,46.85404,3.8861527,0.0,0.0
8,0,IFITM3,45.750416,2.3095345,0.0,0.0
9,0,FN1,45.561153,4.056256,0.0,0.0
10,1,SRGN,63.895515,5.401431,0.0,0.0
11,1,TYROBP,62.835308,5.8639994,0.0,0.0
12,1,HLA-DRA,62.1622,5.4917436,0.0,0.0
13,1,LAPTM5,62.013123,4.895649,0.0,0.0
14,1,HLA-DPB1,60.294125,5.1711636,0.0,0.0
15,1,FCER1G,60.180428,5.0199485,0.0,0.0
16,1,LYZ,59.563423,5.9702735,0.0,0.0
17,1,CD74,59.489456,4.8753514,0.0,0.0
18,1,AIF1,59.299862,4.916913,0.0,0.0
19,1,HLA-DPA1,58.993248,4.9577165,0.0,0.0
20,2,SERPINF1,35.606274,4.7262726,1.1202836169865148e-277,2.1206968869554723e-273
21,2,DCN,35.39051,5.8346825,2.3896475323360387e-274,2.2618013893560606e-270
22,2,CCDC80,33.575638,4.5938554,3.805202377348946e-247,2.401082700107185e-243
23,2,LUM,33.309586,4.7753973,2.8049658915187475e-243,1.3274501081612471e-239
24,2,MGP,32.673172,5.3675385,3.756733630941225e-234,1.4222993526743477e-230
25,2,C1S,32.627506,3.99991,1.670792953527893e-233,5.271351768380502e-230
26,2,C1R,32.56859,4.224534,1.1424369158027257e-232,3.0894758308779425e-229
27,2,MFAP4,32.410786,4.359112,1.9344848239087012e-230,4.577474714573964e-227
28,2,SFRP2,32.276283,5.960528,1.505458935384689e-228,3.1664819607591295e-225
29,2,HBB,31.929361,4.9027634,1.0451114691486401e-223,1.9783960110983757e-220
30,3,TIMP1,44.911148,3.0025876,0.0,0.0
31,3,CCDC80,41.313576,3.6379359,0.0,0.0
32,3,COL3A1,41.142918,4.0056486,0.0,0.0
33,3,COL1A1,40.831203,4.230733,0.0,0.0
34,3,TPT1,39.802723,1.1437804,0.0,0.0
35,3,SPARC,38.876617,3.0636127,0.0,0.0
36,3,PTGDS,38.303047,4.0863853,0.0,0.0
37,3,COL1A2,37.25059,3.362048,1.036514657646287e-303,2.4526528086555266e-300
38,3,RARRES2,36.99534,2.6886063,1.3608812524331405e-299,2.8623869009510386e-296
39,3,PTGIS,35.91286,3.5542698,1.924154203518554e-282,3.642423907260623e-279
40,4,VWF,37.371758,8.216704,1.1240034398692421e-305,2.127738511672475e-301
41,4,GNG11,36.370567,4.2677884,1.2432501211885982e-289,1.176736239705008e-285
42,4,RAMP2,36.17947,4.9109926,1.280559766241856e-286,8.080332124986111e-283
43,4,PECAM1,35.961864,5.9964323,3.3026870746900957e-283,1.5629966580970877e-279
44,4,SPARCL1,35.873463,4.8056912,7.92334808294722e-282,2.9997795842038174e-278
45,4,NPDC1,35.62002,3.8874967,6.863784025686782e-278,2.1655238601041796e-274
46,4,FKBP1A,33.37795,2.1733432,2.86457389860489e-244,7.746626271512938e-241
47,4,ADGRL4,33.043537,8.479105,1.926421954038047e-239,4.558395948742528e-236
48,4,HLA-E,33.02151,2.722974,3.9904568139053754e-239,8.393260831914307e-236
49,4,EGFL7,33.009846,4.581014,5.867471454470628e-239,1.1107123463312898e-235
50,5,MTCH1,47.00859,2.9279969,0.0,0.0
51,5,BSG,44.457294,2.411051,0.0,0.0
52,5,IGF2,44.208736,3.9679198,0.0,0.0
53,5,EPCAM,43.75542,3.8096101,0.0,0.0
54,5,FBXO2,43.74618,5.1221685,0.0,0.0
55,5,COL9A2,43.614388,5.0789533,0.0,0.0
56,5,HSP90AB1,43.027966,1.9439074,0.0,0.0
57,5,SOX17,43.01139,4.437174,0.0,0.0
58,5,PAX8,42.186195,3.639433,0.0,0.0
59,5,STMN1,41.91207,2.903117,0.0,0.0
60,6,AIF1,49.148987,4.950573,0.0,0.0
61,6,TYROBP,48.54727,5.217872,0.0,0.0
62,6,FCER1G,48.192535,4.6888256,0.0,0.0
63,6,CD74,47.167213,4.567297,0.0,0.0
64,6,HLA-DPA1,46.938183,4.550422,0.0,0.0
