,group,names,scores,logfoldchanges,pvals,pvals_adj
0,0,SFN,29.180544,5.2268453,3.4243034678645836e-187,7.586201902707199e-183
1,0,LAMC2,28.758587,4.746614,7.073586441647425e-182,7.835411701412852e-178
2,0,ANXA1,28.720778,4.6179166,2.099586833936086e-181,1.5504748906340016e-177
3,0,TACSTD2,28.343386,4.8079658,1.0098287922994017e-176,5.592936766150236e-173
4,0,TXNRD1,27.785519,3.4667358,6.490564002031538e-170,2.875839098020134e-166
5,0,TOMM20,27.74942,1.8618745,1.7707734570245934e-169,6.538285861153808e-166
6,0,ASPH,27.40866,3.051892,2.162372674075784e-165,6.843600603067846e-162
7,0,AKR1C3,27.301538,4.8494115,4.066849422634058e-164,1.1262122763629364e-160
8,0,CYP4F11,26.933481,6.8695927,8.90755204784348e-160,2.1926434229769383e-156
9,0,CES1,26.726223,5.6709795,2.3339073507167087e-157,5.170538344777797e-154
10,1,HLA-DRA,115.87462,7.001498,0.0,0.0
11,1,FCER1G,113.88572,9.438666,0.0,0.0
12,1,LAPTM5,113.73147,6.886754,0.0,0.0
13,1,FTL,111.849464,3.6112869,0.0,0.0
14,1,SRGN,111.40825,4.9308643,0.0,0.0
15,1,HLA-DRB1,110.94253,5.7760897,0.0,0.0
16,1,TYROBP,110.65433,9.012941,0.0,0.0
17,1,CD74,108.56141,4.926085,0.0,0.0
18,1,C15orf48,107.6646,6.747844,0.0,0.0
19,1,CD68,105.32287,4.820416,0.0,0.0
20,2,ADGRL4,96.804634,8.798565,0.0,0.0
21,2,TCF4,94.62714,4.062756,0.0,0.0
22,2,TM4SF1,93.86331,4.2492375,0.0,0.0
23,2,GNG11,89.651596,3.7386007,0.0,0.0
24,2,CD93,88.902565,5.209638,0.0,0.0
25,2,SPARCL1,85.5203,3.6577537,0.0,0.0
26,2,CALCRL,83.90948,6.110735,0.0,0.0
27,2,CLDN5,80.78617,7.5745683,0.0,0.0
28,2,ANGPT2,78.61518,5.8912044,0.0,0.0
29,2,APP,78.50281,2.080251,0.0,0.0
30,3,DES,51.114204,8.513208,0.0,0.0
31,3,TPM2,49.818203,4.000733,0.0,0.0
32,3,TAGLN,49.202145,5.095595,0.0,0.0
33,3,LPP,46.533894,3.804246,0.0,0.0
34,3,MYH11,46.123055,6.291431,0.0,0.0
35,3,MYLK,43.84686,4.186963,0.0,0.0
36,3,CALD1,43.816452,3.1188035,0.0,0.0
37,3,ACTN1,43.59991,2.8581285,0.0,0.0
38,3,PPP1R12B,41.751522,5.1480303,0.0,0.0
39,3,SYNPO2,41.591568,5.352806,0.0,0.0
40,4,VIM,88.52491,2.7861784,0.0,0.0
41,4,ANXA5,82.77345,2.045601,0.0,0.0
42,4,LAPTM4A,81.936554,1.8262382,0.0,0.0
43,4,OAF,81.009834,3.3608935,0.0,0.0
44,4,FJX1,75.85496,3.3976247,0.0,0.0
45,4,RND3,74.615166,2.5996134,0.0,0.0
46,4,LGALS1,74.211555,2.1782541,0.0,0.0
47,4,SERPINE1,73.30743,3.1868997,0.0,0.0
48,4,TBX3,72.92734,3.0149562,0.0,0.0
49,4,CAV1,72.53971,2.6984649,0.0,0.0
50,5,COL4A1,71.24879,3.6660028,0.0,0.0
51,5,IGFBP7,69.92142,3.7211452,0.0,0.0
52,5,COL4A2,68.53213,3.3355546,0.0,0.0
53,5,COL6A2,66.49854,2.9226923,0.0,0.0
54,5,RGS5,66.43777,5.390411,0.0,0.0
55,5,COL18A1,65.173,2.6316159,0.0,0.0
56,5,SPARC,63.821945,3.378617,0.0,0.0
57,5,C11orf96,63.5948,3.7628217,0.0,0.0
58,5,BGN,63.52074,3.315886,0.0,0.0
59,5,SELENOM,57.544773,1.952368,0.0,0.0
60,6,LAMC2,48.710358,4.613533,0.0,0.0
61,6,MACC1,45.445362,4.803839,0.0,0.0
62,6,TACSTD2,43.915657,4.2760253,0.0,0.0
63,6,SERPINA1,43.409348,4.4265075,0.0,0.0
64,6,LCN2,43.065388,4.854059,0.0,0.0
65,6,KRT19,42.441216,4.0339594,0.0,0.0
66,6,ACTN4,42.436314,2.5121946,0.0,0.0
67,6,TFPI2,41.597145,3.5197308,0.0,0.0
68,6,RAB11FIP1,41.53689,3.7694101,0.0,0.0
69,6,CD9,41.427128,3.0076706,0.0,0.0
70,7,ATP2B1,79.938255,3.7109077,0.0,0.0
71,7,HSPA9,79.65278,2.4913924,0.0,0.0
72,7,PAPPA,79.447464,4.933278,0.0,0.0
73,7,HSP90AB1,77.96596,1.9731991,0.0,0.0
74,7,SFPQ,77.20465,2.3552012,0.0,0.0
75,7,RAP1B,76.92388,2.3158479,0.0,0.0
76,7,RPL13A,76.62331,1.5761238,0.0,0.0
77,7,PPP1R15A,76.169586,2.7816677,0.0,0.0
78,7,EMP3,76.02665,2.6647093,0.0,0.0
79,7,BMP2,74.92831,4.701582,0.0,0.0
80,8,CAPS,60.69936,7.7557907,0.0,0.0
81,8,RSPH1,60.289516,8.328266,0.0,0.0
82,8,C1orf194,60.13913,11.008685,0.0,0.0
83,8,PIFO,59.049244,8.695666,0.0,0.0
84,8,C5orf49,58.462536,9.015944,0.0,0.0
85,8,CETN2,58.403885,4.9076495,0.0,0.0
86,8,FAM183A,58.384773,10.210781,0.0,0.0
87,8,MORN2,58.371113,5.270275,0.0,0.0
88,8,EFHC1,58.17544,5.7510347,0.0,0.0
89,8,AGR3,58.094074,8.078252,0.0,0.0
90,9,IGFBP7,62.165257,4.3924003,0.0,0.0
91,9,ITM2B,60.079998,2.8382294,0.0,0.0
92,9,PTGDS,56.794067,5.194355,0.0,0.0
93,9,NR2F2,54.304226,3.8167715,0.0,0.0
94,9,MGP,53.26872,3.8645837,0.0,0.0
95,9,MTRNR2L12,52.35344,1.8167956,0.0,0.0
96,9,PTN,50.86092,4.427519,0.0,0.0
97,9,LUM,49.155464,3.359813,0.0,0.0
98,9,HSPA1A,49.011448,4.3261313,0.0,0.0
99,9,MT-ND4L,48.102894,1.7216799,0.0,0.0
100,10,WFDC2,74.79377,5.3434343,0.0,0.0
101,10,MDK,72.38862,3.3246136,0.0,0.0
102,10,EPCAM,71.18288,3.5493805,0.0,0.0
103,10,PLPP2,69.40605,3.5821989,0.0,0.0
104,10,H3-3A,69.35916,1.733351,0.0,0.0
105,10,CD24,68.30478,3.4777913,0.0,0.0
106,10,SERINC2,67.40922,3.290936,0.0,0.0
107,10,MSX1,67.33446,4.497774,0.0,0.0
108,10,PERP,66.5456,2.817789,0.0,0.0
109,10,RPL37,66.10236,1.2091364,0.0,0.0
110,11,PTPRC,58.046345,5.572082,0.0,0.0
111,11,CD7,57.428272,8.440497,0.0,0.0
112,11,BTG1,52.731316,2.477145,0.0,0.0
113,11,SARAF,52.641483,2.3374808,0.0,0.0
114,11,CXCR4,52.563404,4.252299,0.0,0.0
115,11,TSC22D3,50.943043,3.2776906,0.0,0.0
116,11,SMAP2,50.756805,3.687763,0.0,0.0
117,11,ARHGDIB,47.12149,4.570778,0.0,0.0
118,11,RPS27,46.937027,1.079946,0.0,0.0
