,group,names,scores,logfoldchanges,pvals,pvals_adj
0,0,WFDC2,21.816263,3.5554445,1.6261959268660951e-105,1.0277558257793721e-101
1,0,MSLN,19.375668,3.709435,1.2384397922754873e-83,5.87020461538581e-80
2,0,KRT18,17.618992,2.6791086,1.761181655934267e-69,5.565334032752283e-66
3,0,SPINT2,16.753418,2.7263427,5.346425613585488e-63,1.4481175661940125e-59
4,0,KRT19,15.822629,2.5828958,2.172288821629315e-56,5.148324507261476e-53
5,0,KRT8,15.808691,2.4441726,2.7104055409785985e-56,5.709921006328248e-53
6,0,CLU,15.686213,2.361254,1.8794051435798203e-55,3.5633521522273395e-52
7,0,MUC1,15.583765,2.452766,9.38600485765004e-55,1.617805928191316e-51
8,0,SLPI,14.982129,2.5358167,9.608925074700616e-51,1.5182101618026973e-47
9,0,KRT7,14.802253,2.838441,1.4165777999607768e-49,2.0660242374812556e-46
10,1,DCN,15.082075,5.130834,2.1248322557350117e-51,4.028681956873582e-47
11,1,IGFBP5,14.430108,4.7422957,3.3455649742143038e-47,3.17159559555516e-43
12,1,RPS8,13.79255,2.0679255,2.8259256127572356e-43,1.7859849872625727e-39
13,1,RPL36,13.661912,2.3622558,1.714236686195985e-42,8.125481892568969e-39
14,1,VIM,12.69821,3.1493328,6.0497537715125174e-37,2.2940666301575468e-33
15,1,RPS3,11.917838,1.6998342,9.555629583798631e-33,3.0195789484803673e-29
16,1,RPL18,11.364235,1.8011224,6.301443962026919e-30,1.7067911074290055e-26
17,1,RPL15,11.141027,1.8063239,7.919989388653537e-29,1.668477764543012e-25
18,1,RBP1,11.099449,3.6013486,1.2621935293100193e-28,2.393118931571797e-25
19,1,RPL23,10.972639,1.8003697,5.173964726644009e-28,8.918033747015492e-25
20,2,COL1A1,22.784494,7.2142434,6.533354138692061e-115,1.2387239446960149e-110
21,2,COL1A2,22.223577,6.673285,2.0322035234252805e-109,1.9265289402071658e-105
22,2,COL3A1,21.64299,6.7565603,7.076194412654718e-104,4.4721548687977814e-100
23,2,DCN,21.301056,5.8480253,1.1098916990602134e-100,5.260886653545412e-97
24,2,LUM,20.167332,6.7883725,1.8959495747312365e-90,7.189440787380849e-87
25,2,C1S,19.724562,4.888238,1.3270415932436604e-86,4.193451434649967e-83
26,2,COL6A1,19.671413,4.5350294,3.790616235788576e-86,1.0267154832935915e-82
27,2,SPARC,19.114775,5.071129,1.9024304845950458e-81,4.508760248490259e-78
28,2,FBLN1,18.709755,5.3847566,4.1225976356359114e-78,8.684939019072987e-75
29,2,CCDC80,18.579147,6.2362137,4.739688340547988e-77,8.986449093678986e-74
30,3,CD74,28.106806,5.589575,8.088656302565638e-174,1.533609234966445e-169
31,3,HLA-DRA,27.546005,6.529523,4.9409687229990155e-167,4.6840383494030666e-163
32,3,LAPTM5,24.597609,5.6181693,1.339857917569843e-133,8.467902039041408e-130
33,3,HLA-DPA1,24.16215,5.7582116,5.5646713445707167e-129,2.6376542173265195e-125
34,3,HLA-DRB1,23.031448,5.0346403,2.257210034984675e-117,8.559340452661889e-114
35,3,HLA-DPB1,22.748737,5.603623,1.4769162380056757e-114,4.667055312097935e-111
36,3,CD83,20.348022,5.484405,4.833847030013056e-92,1.309281995557822e-88
37,3,FTL,19.264086,2.747276,1.0754762406716811e-82,2.5488786903918842e-79
38,3,HLA-DQA1,18.991568,5.9427547,2.002601627350152e-80,4.218814094950987e-77
39,3,TYROBP,18.712807,6.7092724,3.8932051829819103e-78,7.381517026933703e-75
40,4,B2M,24.584015,2.3526695,1.8726774097132927e-133,3.550596368816403e-129
41,4,SRGN,24.378162,4.9801803,2.9156980577709735e-131,2.7640817587668826e-127
42,4,CXCR4,23.134474,5.305846,2.0836160188019556e-118,1.3168453238828359e-114
43,4,HLA-B,22.650429,2.4770875,1.3815989988378162e-113,6.548779254491249e-110
44,4,BTG1,21.903864,3.1291115,2.3865673190658383e-106,7.541552728248049e-103
45,4,ZFP36L2,20.437012,2.7635708,7.839456380781218e-93,2.1233727568515986e-89
46,4,IL7R,17.824995,6.6688285,4.5213833392026845e-71,8.57254281112829e-68
47,4,TPT1,17.698866,1.573609,4.278321032280245e-70,7.374269706548495e-67
48,4,CD69,17.21281,4.972107,2.128440168881516e-66,3.362935466832795e-63
49,4,TNFAIP3,17.200909,3.5282023,2.613965207511066e-66,3.8123677180315236e-63
50,5,ELF3,14.438672,4.7227507,2.9547910790168913e-47,5.602283885816025e-43
51,5,S100A6,13.859332,4.0434365,1.1170885961427648e-43,1.058999989143341e-39
52,5,H19,13.413841,5.191026,5.01716351466502e-41,3.1708473412682926e-37
53,5,LCN2,12.91462,5.3005223,3.722762230677805e-38,1.7645892973412795e-34
54,5,KRT17,12.781958,5.699613,2.0679884619553545e-37,7.841812247734705e-34
55,5,MUC1,12.573089,4.0599737,2.9689352515191417e-36,9.381835394800487e-33
56,5,KRT18,12.193722,3.6211593,3.3573196043404487e-34,9.093539956899274e-31
57,5,MUC5B,12.146634,6.382995,5.9776209066321125e-34,1.4166961548718107e-30
58,5,TNFAIP2,11.3650675,3.715427,6.2416243800060905e-30,1.3149022027212832e-26
59,5,WFDC2,11.299478,3.623757,1.3200136514096644e-29,2.2752235300661125e-26
60,6,TAGLN,23.394148,5.9681087,4.9019136284617795e-121,9.294028239563534e-117
61,6,MYL9,22.030687,4.980251,1.463358443554721e-107,1.3872638044898753e-103
62,6,C11orf96,21.756907,5.622686,5.942427201226627e-105,3.755613991175228e-101
63,6,ACTA2,20.522133,5.8482156,1.365857764648186e-93,6.474165804432401e-90
64,6,IGFBP7,20.09494,4.465175,8.171300881717337e-90,3.0985572943472146e-86
65,6,TIMP3,19.95502,5.1251316,1.355650156073246e-88,4.2838544931914574e-85
66,6,MYH11,18.809757,8.06151,6.282436547665374e-79,1.7016428134819356e-75
67,6,ADIRF,18.257097,4.61144,1.8169616776581417e-74,4.306199176049795e-71
