,group,names,scores,logfoldchanges,pvals,pvals_adj
0,0,CTSS,36.758236,3.8362057,8.587278733950225e-296,1.5219234100179984e-291
1,0,NEAT1,33.753216,2.4683607,9.590125140096028e-250,8.498289392896096e-246
2,0,LYZ,30.903942,2.6215982,1.0573118105633398e-209,4.6846843046535185e-206
3,0,RPS4Y1,30.168259,9.276488,6.180683539921672e-200,2.1908050875606356e-196
4,0,MT-ND3,30.066954,1.7500398,1.3108560121401779e-198,3.872050183860062e-195
5,0,CSTA,29.274487,3.2572632,2.1913932416270765e-188,5.548294631622382e-185
6,0,MT-CO1,29.038912,1.0247778,2.1242879596782416e-185,4.706094438672185e-182
7,0,MT-ND2,28.877851,1.5589325,2.2656188150268667e-183,4.461506917635684e-180
8,0,FCN1,28.739906,3.4229605,1.2110647786036392e-181,2.1463701071192298e-178
9,0,S100A9,28.098047,3.5661864,1.0349422095866618e-173,1.6674800709549462e-170
10,1,RPL39,37.78533,0.7385608,0.0,0.0
11,1,RPL36A,37.25406,1.2632385,9.10831732365689e-304,8.071335396358554e-300
12,1,RPS29,35.95207,0.66451293,4.698720322649047e-283,2.775847342610302e-279
13,1,VCAN,35.506126,3.4326053,3.954086784233357e-276,1.7519570019241946e-272
14,1,FCN1,34.66977,2.9881246,2.2499342179140983e-263,7.975116828818313e-260
15,1,RPL37A,33.85281,0.72218204,3.2994912059761174e-251,9.746147107252455e-248
16,1,RPL41,33.302578,0.5431678,3.5430141926392145e-243,8.970405790877828e-240
17,1,RPL38,33.24001,0.7879109,2.846441651980512e-242,6.305935674756327e-239
18,1,S100A4,32.550022,2.160964,2.0921957150906017e-232,4.1199982953945256e-229
19,1,GPX1,31.060745,1.1240187,8.168836145048702e-212,1.3161480272608924e-208
20,2,KLRB1,12.926522,10.054193,3.189225574251859e-38,5.652264485246571e-34
21,2,RPS3,11.832794,1.4966751,2.6419876291959045e-32,2.341197337611951e-28
22,2,CD7,11.508332,6.9828916,1.1977191395734713e-30,5.3067940776651586e-27
23,2,CTSW,11.433569,6.6570663,2.8418364936514733e-30,1.0073173635397012e-26
24,2,RPL3,11.173354,1.7847599,5.50614687926951e-29,1.6264240190215586e-25
25,2,RPSA,10.634665,1.7241476,2.055669772887414e-26,3.643263538488364e-23
26,2,TRDC,10.624172,9.6986685,2.3004472448579774e-26,3.7064387746016306e-23
27,2,RPS18,10.4945545,1.0735574,9.150823851311169e-26,1.247538854744522e-22
28,2,CD2,10.110818,5.0284963,4.946966359473992e-24,5.157357928762209e-21
29,2,RPL13,10.089258,0.9311749,6.1633255812628325e-24,6.068478848706732e-21
30,3,HLA-DRB5,38.065014,4.0221496,0.0,0.0
31,3,HLA-DRA,36.34066,1.7057315,3.690564724134594e-289,3.2703939302918705e-285
32,3,HLA-DQA1,35.8053,2.7505589,9.132937665512079e-281,5.395435141529019e-277
33,3,HLA-DQB1,35.331753,2.5935063,1.911661183402699e-273,8.470092788361508e-270
34,3,HLA-DPA1,34.189262,2.473435,3.4919268904254135e-256,1.237748405580192e-252
35,3,HLA-DPB1,33.43801,2.603448,3.844862240966988e-245,1.1357082249442988e-241
36,3,JAML,32.86826,2.8415575,6.247410197451814e-237,1.5817550132776929e-233
37,3,PPA1,32.0096,2.5532162,8.016991518882699e-225,1.776064258614476e-221
38,3,CD74,31.795689,1.5797849,7.425094797141333e-222,1.4621661676637314e-218
39,3,PRELID1,29.798609,2.2418132,4.072144537249967e-195,7.217061763368117e-192
40,4,CD79A,13.265814,8.969675,3.654324702159965e-40,8.095699587047633e-37
41,4,RPL23A,13.181762,1.4943832,1.1175075454316778e-39,2.2006206919650693e-36
42,4,RPL41,13.096487,0.8968999,3.448526299107939e-39,6.111823159909001e-36
43,4,IGKC,12.943514,7.534505,2.556642595458244e-38,4.119216065391496e-35
44,4,RPS29,12.7443695,1.0477663,3.3508750902035e-37,4.20680453408734e-34
45,4,RPS15A,12.549381,1.0855912,4.0062933138291846e-36,4.437721025062165e-33
46,4,RPL37,12.200441,1.0911009,3.091455294504881e-34,3.1951414068609553e-31
47,4,RPS27,12.192087,1.2975634,3.4253617745504796e-34,3.1951414068609553e-31
48,4,RPL39,11.824217,0.89004904,2.9262007850381636e-32,2.3573207506014263e-29
49,4,RPS25,11.73792,1.1501728,8.146519227179594e-32,6.277424359274085e-29
50,5,PSAP,56.176563,3.4626186,0.0,0.0
51,5,C1QA,52.581047,5.5278263,0.0,0.0
52,5,FTL,49.02783,2.105315,0.0,0.0
53,5,CTSB,48.963417,3.4023046,0.0,0.0
54,5,RNASE1,48.269886,5.1862397,0.0,0.0
55,5,C1QB,47.609524,5.3482924,0.0,0.0
56,5,CD14,47.559483,3.8840992,0.0,0.0
57,5,CTSL,44.958794,5.470849,0.0,0.0
58,5,C1QC,43.527584,5.17377,0.0,0.0
59,5,APOE,42.320957,6.717711,0.0,0.0
60,6,HIST1H4C,14.751224,4.321415,3.0213766412302364e-49,5.3547858212523485e-45
61,6,TOP2A,14.595119,6.4523687,3.0168313833249284e-48,2.6733651303333855e-44
62,6,TUBB,13.876077,2.824456,8.845443984216722e-44,4.759006185834837e-40
63,6,HMGB2,13.86215,3.5029674,1.0740859190509138e-43,4.759006185834837e-40
64,6,UBE2C,13.82632,6.2088404,1.7684030255673592e-43,6.268281364426061e-40
65,6,H2AFZ,13.549676,2.7338011,7.958026675065772e-42,2.3506684460365114e-38
66,6,KIAA0101,13.473516,4.379818,2.2394218570048086e-41,5.669896224528032e-38
67,6,CKS1B,13.390975,3.9062653,6.827825865022428e-41,1.5126194725724064e-37
68,6,STMN1,13.160327,3.7356598,1.4844207168731327e-39,2.9231542627936143e-36
69,6,HMGN2,12.737172,2.3166878,3.674758537430754e-37,6.512774555888525e-34
70,7,HLA-DPB1,33.409668,3.323965,9.923165479931666e-245,1.7586826180082893e-240
71,7,HLA-DPA1,33.388752,2.9950593,1.9967019068924067e-244,1.7693773947927062e-240
72,7,CD74,33.213814,2.1162026,6.802183433145966e-242,4.018503232854865e-238
73,7,DNASE1L3,33.015923,5.341017,4.799802971273509e-239,2.12667270149701e-235
74,7,SNX3,32.792854,3.4442787,7.444633283538604e-236,2.6388247136830936e-232
75,7,C1orf54,32.31053,4.6828346,4.975737000866484e-229,1.469749781105945e-225
76,7,LGALS2,31.902147,3.6540482,2.49308985422037e-223,6.312147355192516e-220
77,7,CPVL,31.722918,3.721781,7.506437568185413e-221,1.6629574127618762e-217
78,7,CLEC9A,31.65573,5.988539,6.324506832958647e-220,1.2454359400058455e-216
79,7,IRF8,31.540222,4.088185,2.441642080803838e-218,4.327322259808642e-215
80,8,LTB,40.55302,6.058016,0.0,0.0
81,8,S100B,39.688496,6.162827,0.0,0.0
82,8,GSN,37.722878,3.697659,0.0,0.0
83,8,RPS19,35.691967,1.2817174,5.267421584688823e-279,2.3338628186360004e-275
84,8,RPS4X,34.452305,1.8099549,4.159133271238822e-260,1.228538649436094e-256
85,8,RPL15,34.280327,1.6308134,1.5414075167172918e-257,3.9026236312543656e-254
86,8,PTMS,34.20578,3.6625102,1.9837852738378662e-256,4.394828301028563e-253
87,8,LST1,33.957714,2.310951,9.384150292280001e-253,1.8479477292230938e-249
88,8,RUNX3,32.709404,3.6654682,1.1479278350071186e-234,1.8495204563482876e-231
89,8,NPM1,31.050459,2.3398438,1.1246722891204376e-211,1.5332743830831935e-208
90,9,TM4SF1,6.2370105,13.314547,4.460126979200168e-10,7.904683045236458e-06
91,9,IFI27,6.0745807,6.993783,1.2431202299061536e-09,1.101590991731338e-05
92,9,DSTN,5.877888,4.5780735,4.155329490892988e-09,1.579832290134038e-05
93,9,EZR,5.757457,4.1408916,8.539070688782675e-09,1.579832290134038e-05
94,9,CALD1,5.7556667,11.97484,8.63004825486024e-09,1.579832290134038e-05
95,9,CCDC80,5.753813,11.488862,8.725268285640037e-09,1.579832290134038e-05
96,9,KRT19,5.753557,11.452859,8.738481977135323e-09,1.579832290134038e-05
97,9,SLPI,5.752662,11.972487,8.78488327692085e-09,1.579832290134038e-05
98,9,KRT18,5.747421,9.75416,9.061511023905902e-09,1.579832290134038e-05
99,9,KRT8,5.739366,8.868054,9.50314858021229e-09,1.579832290134038e-05
100,10,MALAT1,33.063118,1.8883604,1.0078707942579708e-239,1.7862494086634018e-235
101,10,CCR7,31.648035,6.4925914,8.070471409815619e-220,7.151648239808111e-216
102,10,LAMP3,31.421011,4.7110314,1.0451336962479763e-216,6.174301499534295e-213
103,10,BIRC3,31.204716,4.954276,9.19503134009466e-214,4.074088511012442e-210
104,10,B2M,30.443436,1.1076686,1.463210157422877e-203,5.1864947240011295e-200
105,10,TXN,30.20802,3.5635166,1.858565377609475e-200,5.489892364562121e-197
106,10,NUB1,28.570082,4.585602,1.5817960801309513e-179,3.114907992017872e-176
107,10,CSF2RA,28.1619,3.4151566,1.713395746763765e-174,2.760592074535837e-171
108,10,CD83,27.552452,3.6963716,4.135966863842903e-167,6.108478393990647e-164
109,10,BTG1,27.166897,2.7773268,1.5991948575360316e-162,2.1801946507777762e-159
