,group,names,scores,logfoldchanges,pvals,pvals_adj
0,0,WFDC2,80.51218,5.696077,0.0,0.0
1,0,KRT18,80.158714,5.0386887,0.0,0.0
2,0,KRT8,79.92689,4.9157324,0.0,0.0
3,0,SPINT2,79.64614,4.435127,0.0,0.0
4,0,EPCAM,77.14892,4.615768,0.0,0.0
5,0,BCAM,76.7378,4.8479652,0.0,0.0
6,0,MAL2,76.277626,4.8136373,0.0,0.0
7,0,KRT7,75.02346,4.478553,0.0,0.0
8,0,CLDN4,74.355095,4.540217,0.0,0.0
9,0,KRT19,74.28119,4.464578,0.0,0.0
10,1,NDUFB9,80.4282,4.4353995,0.0,0.0
11,1,S100A13,80.13041,4.8916965,0.0,0.0
12,1,CD24,79.459656,6.5362687,0.0,0.0
13,1,CLDN3,78.14214,5.5470114,0.0,0.0
14,1,EPCAM,77.78371,5.192872,0.0,0.0
15,1,PERP,77.21806,4.388431,0.0,0.0
16,1,COX6C,77.13826,3.061068,0.0,0.0
17,1,CLDN4,77.07658,5.49193,0.0,0.0
18,1,RPL8,77.02549,2.1850405,0.0,0.0
19,1,VPS28,76.72806,3.7155895,0.0,0.0
20,2,SARAF,76.150375,1.7162989,0.0,0.0
21,2,IL7R,74.145645,3.3520036,0.0,0.0
22,2,RPL13,74.02983,0.76582325,0.0,0.0
23,2,RPS4X,73.42885,0.84553313,0.0,0.0
24,2,RPL34,73.016655,0.8813665,0.0,0.0
25,2,RPL21,72.887375,0.89592904,0.0,0.0
26,2,RPS25,72.51596,0.8996324,0.0,0.0
27,2,FXYD5,69.70617,1.76736,0.0,0.0
28,2,RPLP2,69.536476,0.718779,0.0,0.0
29,2,RPS15A,69.33459,0.7468599,0.0,0.0
30,3,BTG1,85.38897,2.2128246,0.0,0.0
31,3,CXCR4,82.97874,3.089564,0.0,0.0
32,3,CCL5,77.22114,3.5134778,0.0,0.0
33,3,TUBA4A,72.26903,3.314368,0.0,0.0
34,3,ZFP36L2,69.198944,2.367896,0.0,0.0
35,3,SRGN,68.54626,2.4053564,0.0,0.0
36,3,HLA-B,68.109566,1.3270917,0.0,0.0
37,3,DUSP4,65.885216,3.0764945,0.0,0.0
38,3,TGFB1,65.076904,2.5451465,0.0,0.0
39,3,RPS16,62.828667,0.8080254,0.0,0.0
40,4,STMN1,24.130123,5.2982726,1.207436146605853e-128,3.9579756885739865e-124
41,4,HMGB2,23.592184,4.425947,4.636117582008663e-123,7.598596716912199e-119
42,4,KIAA0101,23.23291,6.8713956,2.1177781422436328e-119,2.1228326078546724e-115
43,4,HMGN2,23.224255,3.4176064,2.590399765533462e-119,2.1228326078546724e-115
44,4,TUBB,23.073101,3.5926666,8.625396852415326e-118,5.654810176443488e-114
45,4,H2AFZ,22.586712,3.0115404,5.854767180877226e-113,3.1986544698192578e-109
46,4,MKI67,21.993052,7.879269,3.3564770624670616e-107,1.571790258681004e-103
47,4,HMGB1,21.882725,2.4196339,3.794850648707715e-106,1.5549400533079862e-102
48,4,TUBA1B,21.779099,3.1750457,3.6620474344026355e-105,1.3337990544413155e-101
49,4,NUSAP1,21.125956,5.9007716,4.592341211468068e-99,1.5053694491192328e-95
50,5,CCL5,66.92792,3.8763478,0.0,0.0
51,5,CD3D,64.52117,3.3731687,0.0,0.0
52,5,CD2,61.394863,3.1997588,0.0,0.0
53,5,CST7,59.004448,3.313842,0.0,0.0
54,5,NKG7,56.910667,3.5011013,0.0,0.0
55,5,TRAC,56.348507,3.099629,0.0,0.0
56,5,PTPRC,53.3996,2.4934723,0.0,0.0
57,5,TRBC2,51.375385,2.7967176,0.0,0.0
58,5,MALAT1,50.740902,1.004597,0.0,0.0
59,5,HLA-A,50.703384,1.2843397,0.0,0.0
60,6,TYROBP,114.772644,5.916413,0.0,0.0
61,6,HLA-DRA,108.85399,5.3736916,0.0,0.0
62,6,FCER1G,108.11096,5.530227,0.0,0.0
63,6,HLA-DRB1,106.38255,4.771251,0.0,0.0
64,6,CST3,105.91475,4.096202,0.0,0.0
65,6,AIF1,105.745834,7.3727326,0.0,0.0
66,6,CD74,105.44595,4.5289702,0.0,0.0
67,6,HLA-DPA1,104.53053,4.772561,0.0,0.0
68,6,FTL,104.46597,3.3021312,0.0,0.0
69,6,NPC2,102.784096,3.2467756,0.0,0.0
70,7,SOD2,58.942696,5.3722334,0.0,0.0
71,7,CREG1,55.243805,4.3494744,0.0,0.0
72,7,CXCL8,54.92093,6.0069957,0.0,0.0
73,7,CTSL,54.638912,5.1426926,0.0,0.0
74,7,ANXA5,54.573677,3.4517653,0.0,0.0
75,7,C15orf48,53.801445,5.100393,0.0,0.0
76,7,S100A11,53.756012,2.788077,0.0,0.0
77,7,TXN,53.53231,3.2932265,0.0,0.0
78,7,FTL,53.504044,3.338614,0.0,0.0
79,7,FCER1G,51.534595,4.829457,0.0,0.0
80,8,SPARC,99.174995,6.400783,0.0,0.0
81,8,COL1A1,98.49688,7.0179777,0.0,0.0
82,8,RARRES2,98.28903,5.63994,0.0,0.0
83,8,DCN,96.25199,6.283051,0.0,0.0
84,8,COL6A2,93.8318,5.245813,0.0,0.0
85,8,LGALS1,93.82015,3.800373,0.0,0.0
86,8,COL1A2,93.655685,6.2497597,0.0,0.0
87,8,IFITM3,91.815155,3.9293387,0.0,0.0
88,8,LUM,91.70655,5.9148192,0.0,0.0
89,8,CALD1,91.40646,4.632401,0.0,0.0
90,9,SSR4,40.532146,3.7654326,0.0,0.0
91,9,MZB1,40.475784,8.895721,0.0,0.0
92,9,DERL3,38.47701,6.2729683,0.0,0.0
93,9,IGHG1,38.27858,10.8540125,0.0,0.0
94,9,IGHG3,38.24655,9.696876,0.0,0.0
95,9,JCHAIN,36.930923,8.078273,1.4744354345027292e-298,8.055332257166577e-295
96,9,HERPUD1,34.130756,2.8816066,2.580669519178311e-255,3.0212266728094655e-252
97,9,CD79A,33.804356,4.2976227,1.7019641578843365e-250,1.6906177301651075e-247
98,9,IGKC,33.688473,8.758555,8.52705750138774e-249,7.764359580430281e-246
99,9,IGHG4,33.415756,7.2175064,8.095506557676886e-245,6.804377050273034e-242
100,10,CDKN2A,52.620384,4.979551,0.0,0.0
101,10,WFDC2,52.6096,6.065144,0.0,0.0
102,10,CD24,52.09729,6.1738944,0.0,0.0
103,10,TACSTD2,51.773617,5.539589,0.0,0.0
104,10,BCAM,51.654217,5.1891685,0.0,0.0
105,10,KRT7,51.638374,5.317099,0.0,0.0
106,10,LCN2,51.544407,5.423585,0.0,0.0
107,10,UQCRH,51.34451,2.770921,0.0,0.0
108,10,PDZK1IP1,51.286423,6.1862874,0.0,0.0
109,10,CHCHD10,51.26292,3.7060766,0.0,0.0
110,11,LOX,43.372074,6.517897,0.0,0.0
111,11,PLOD2,40.902443,4.941702,0.0,0.0
112,11,TIMP1,40.89409,5.1281567,0.0,0.0
113,11,MT2A,40.173923,4.7581177,0.0,0.0
114,11,TGFBI,40.063484,4.881046,0.0,0.0
115,11,CCDC80,39.499023,4.6780596,0.0,0.0
116,11,MT1E,38.811066,4.2885585,0.0,0.0
117,11,ANGPTL4,38.52462,5.0415416,0.0,0.0
118,11,CA12,38.324913,5.6757164,0.0,0.0
119,11,IGFBP3,38.008404,4.8909116,0.0,0.0
120,12,BATF,61.807915,5.079472,0.0,0.0
121,12,HLA-A,60.01474,2.0652273,0.0,0.0
122,12,B2M,59.093628,1.6942018,0.0,0.0
123,12,IL32,53.980057,3.6442854,0.0,0.0
124,12,LTB,52.454002,4.1089964,0.0,0.0
125,12,AC133644.2,51.26472,5.0174685,0.0,0.0
126,12,CD2,51.06298,3.382597,0.0,0.0
127,12,HLA-C,50.907837,1.534342,0.0,0.0
128,12,HLA-B,49.270977,1.5411676,0.0,0.0
129,12,CACYBP,46.244007,2.887625,0.0,0.0
130,13,CD79A,67.82894,7.209997,0.0,0.0
131,13,RPL21,63.37749,1.2728865,0.0,0.0
132,13,RPLP2,60.448288,1.0224265,0.0,0.0
133,13,RPS23,57.98687,1.0394324,0.0,0.0
134,13,RPL34,57.737595,1.0998908,0.0,0.0
135,13,RPL39,56.24128,1.0879431,0.0,0.0
136,13,RPS27,55.189972,1.2679307,0.0,0.0
137,13,HLA-DRA,55.036175,3.4010055,0.0,0.0
138,13,MS4A1,54.973694,9.15893,0.0,0.0
139,13,IGKC,53.427185,3.9670832,0.0,0.0
140,14,PDLIM4,70.43289,5.5801425,0.0,0.0
141,14,PDPN,69.04812,5.181895,0.0,0.0
142,14,CLMP,66.74578,5.251886,0.0,0.0
143,14,ANXA5,66.601326,3.5028808,0.0,0.0
144,14,CD59,65.4652,3.3946633,0.0,0.0
145,14,GSTO1,65.392166,3.5171647,0.0,0.0
146,14,INHBA,64.547,5.168324,0.0,0.0
147,14,GAL,63.242226,6.9872174,0.0,0.0
148,14,MPZL1,63.073463,3.9227462,0.0,0.0
149,14,COL6A2,62.516804,4.4160724,0.0,0.0
150,15,IGFBP7,23.281185,6.4534173,6.876658074590208e-120,2.2541685168506702e-115
151,15,CD59,18.765577,2.9459229,1.4441834531416439e-78,2.367016679699154e-74
152,15,CALD1,18.312162,3.8566854,6.618948347806181e-75,7.232304228036221e-71
153,15,CAV1,18.029009,4.089492,1.1534018913367094e-72,9.452128499504334e-69
154,15,C11orf96,17.598814,4.1236176,2.515372277058561e-69,1.6490780648395926e-65
155,15,COL4A1,17.527706,6.411173,8.804984437666839e-69,4.81045649777865e-65
156,15,IFITM3,17.040537,3.041674,4.109424048508917e-65,1.9243845758588898e-61
157,15,AKAP12,16.858835,4.4294176,9.035131716319946e-64,3.7021452207620977e-60
158,15,MAP1B,16.793034,3.820667,2.744505537574693e-63,9.996099057966493e-60
159,15,NNMT,16.736248,3.3946667,7.13465203230487e-63,2.3387389361895366e-59
160,16,MGP,55.314487,8.423267,0.0,0.0
161,16,DCN,52.570675,6.5688334,0.0,0.0
162,16,IGFBP7,51.44786,5.479179,0.0,0.0
163,16,APOD,51.312817,8.047597,0.0,0.0
164,16,LUM,51.10976,6.146085,0.0,0.0
165,16,CCDC80,51.08917,5.3475904,0.0,0.0
166,16,SPARCL1,50.13853,5.680778,0.0,0.0
167,16,SERPINF1,50.125866,4.9045444,0.0,0.0
168,16,C11orf96,49.524864,5.316146,0.0,0.0
169,16,FBLN1,49.17471,5.286084,0.0,0.0
170,17,KLRB1,60.69375,4.8052115,0.0,0.0
171,17,NKG7,58.64773,4.368494,0.0,0.0
172,17,CD7,57.702904,3.6264708,0.0,0.0
173,17,GNLY,57.302517,6.502703,0.0,0.0
174,17,KLRD1,54.8428,4.7757645,0.0,0.0
175,17,CCL5,54.15395,3.9595199,0.0,0.0
176,17,CTSW,49.970448,4.174887,0.0,0.0
177,17,TYROBP,42.120087,2.8038583,0.0,0.0
178,17,IFITM2,39.33182,2.0649014,0.0,0.0
179,17,CLEC2B,38.042355,2.14157,0.0,0.0
180,18,HLA-DRA,33.91774,5.178896,3.648553142105329e-252,1.1959957199821269e-247
181,18,TYROBP,31.090836,4.158753,3.2036836786269344e-212,5.250837549269545e-208
182,18,C15orf48,30.722097,4.516259,2.8852954646376378e-207,3.152666177694059e-203
183,18,HLA-DPB1,30.648668,4.0051794,2.7529114305611317e-206,2.2560109173448473e-202
184,18,HLA-DRB1,30.01498,3.904472,6.2571887968646436e-198,4.1022129752244606e-194
185,18,FTH1,29.60425,2.3832595,1.317459991988625e-192,7.197723089564522e-189
186,18,CD86,29.319206,4.792338,5.903084105453773e-189,2.7643299568110668e-185
187,18,CD74,29.218111,3.825995,1.1418458131306749e-187,4.67871321930294e-184
