group,names,scores,logfoldchanges,pvals,pvals_adj
0,BTG1,198.36313,3.3290803,0.0,0.0
0,HLA-B,197.22993,2.710348,0.0,0.0
0,HLA-A,192.2845,2.555399,0.0,0.0
0,CXCR4,183.18217,4.626335,0.0,0.0
0,ARHGDIB,173.05904,3.7437367,0.0,0.0
0,SRGN,171.93935,3.6500175,0.0,0.0
0,MALAT1,171.51733,1.5802593,0.0,0.0
0,B2M,165.84283,1.8890887,0.0,0.0
0,CD7,163.85164,6.419642,0.0,0.0
0,CD3D,161.8421,6.7898173,0.0,0.0
1,LAPTM5,70.906235,3.7197125,0.0,0.0
1,CD74,70.83834,3.608388,0.0,0.0
1,HLA-DRA,69.367294,3.679649,0.0,0.0
1,CD79A,67.5469,7.4605246,0.0,0.0
1,CXCR4,67.44639,3.8161356,0.0,0.0
1,CD37,67.43822,4.112947,0.0,0.0
1,IGKC,64.476006,4.699926,0.0,0.0
1,MALAT1,63.24747,1.4535968,0.0,0.0
1,HLA-DQB1,58.64685,3.112754,0.0,0.0
1,HLA-DPB1,57.953835,2.8378644,0.0,0.0
10,C1orf186,66.13297,6.1966457,0.0,0.0
10,EPCAM,51.542103,2.390861,0.0,0.0
10,HSP90AA1,48.00805,1.3445472,0.0,0.0
10,MECOM,45.161087,3.6040387,0.0,0.0
10,JUN,43.332745,1.6317619,0.0,0.0
10,PAX8,42.585842,2.465567,0.0,0.0
10,FOS,40.41677,1.91782,0.0,0.0
10,EGR1,39.14767,2.181336,0.0,0.0
10,TNFAIP2,37.88628,2.209825,0.0,0.0
10,ELF3,36.14911,1.8384627,3.8422079891884207e-286,2.0768691833450925e-284
11,KLK5,112.36163,5.937007,0.0,0.0
11,TAGLN,108.61295,5.3639755,0.0,0.0
11,MYL9,106.92497,4.040639,0.0,0.0
11,S100A1,102.99792,4.378563,0.0,0.0
11,TPM2,102.52402,3.5846162,0.0,0.0
11,LCN2,101.77456,4.6265435,0.0,0.0
11,CRIP2,101.71808,3.5319986,0.0,0.0
11,KLK10,100.35685,4.5072093,0.0,0.0
11,C19orf33,99.8853,3.781708,0.0,0.0
11,CRIP1,97.60035,3.591155,0.0,0.0
12,BCAM,81.82967,6.100702,0.0,0.0
12,PCSK1N,79.448296,6.336332,0.0,0.0
12,SPINT2,78.59303,4.126949,0.0,0.0
12,BHLHE41,72.48745,4.01456,0.0,0.0
12,PTGDS,67.1799,4.6659627,0.0,0.0
12,WFDC2,64.401276,4.0074744,0.0,0.0
12,MSLN,63.491917,3.0386047,0.0,0.0
12,CCDC146,63.191483,3.763505,0.0,0.0
12,PAX8,63.1505,2.9861588,0.0,0.0
12,IGFBP2,62.988815,3.6343439,0.0,0.0
13,PDPN,132.64761,4.410452,0.0,0.0
13,MMP2,129.18777,3.9917488,0.0,0.0
13,COL6A2,128.36972,3.7255445,0.0,0.0
13,DCN,127.04514,4.5012064,0.0,0.0
13,NBL1,125.40914,3.2289531,0.0,0.0
13,LUM,124.25886,4.6104164,0.0,0.0
13,SPARC,120.937126,3.9194667,0.0,0.0
13,C11orf96,120.754105,4.1112475,0.0,0.0
13,COL1A1,119.3577,4.3810296,0.0,0.0
13,LGALS1,116.842224,2.833438,0.0,0.0
14,COL1A1,124.81391,6.6922545,0.0,0.0
14,COL1A2,124.72974,6.2541347,0.0,0.0
14,COL3A1,123.53503,6.045292,0.0,0.0
14,SPARC,119.4081,5.0347123,0.0,0.0
14,RARRES2,115.944725,4.0805025,0.0,0.0
14,LGALS1,113.188965,3.4470994,0.0,0.0
14,DCN,112.26994,4.5906568,0.0,0.0
14,C1S,108.987656,3.48049,0.0,0.0
14,COL6A1,108.520996,3.9909558,0.0,0.0
14,COL6A2,108.15904,3.7619138,0.0,0.0
