sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
T89,CD4+ T cell,BRDT,755,5,0.006622516556291391,0.02592246173281786
T89,T cell,BRDT,1365,4,0.0029304029304029304,-0.011148468702451142
T89,B cell,BRDT,232,0,0.0,-0.0405713885222967
T89,Epithelial cell,BRDT,349,0,0.0,-0.0405713885222967
T89,Macrophage,BRDT,303,0,0.0,-0.040571388522296706
T89,Natural killer (NK) cell,BRDT,187,0,0.0,-0.0405713885222967
T89,Microglial cell,BRDT,412,0,0.0,-0.040571388522296706
T89,Migration phase fetal germ cell,BRDT,52,0,0.0,-0.040571388522296706
T89,Fibroblast,BRDT,453,0,0.0,-0.040571388522296706
T89,Dendritic cell,BRDT,467,0,0.0,-0.040571388522296706
T89,Squamous cell,BRDT,57,0,0.0,-0.040571388522296706
T89,Decidual cell,BRDT,160,0,0.0,-0.0405713885222967
T89,Plasmacytoid dendritic cell,BRDT,362,0,0.0,-0.0405713885222967
T89,Endothelial cell,BRDT,124,0,0.0,-0.040571388522296706
T89,Basophil,BRDT,81,0,0.0,-0.0405713885222967
T89,Granulocyte-monocyte progenitor,BRDT,8,0,0.0,-0.0405713885222967
T89,CD4+ T cell,CAGE1,755,0,0.0,-0.024273766633958818
T89,T cell,CAGE1,1365,1,0.0007326007326007326,-0.016929976328732468
T89,B cell,CAGE1,232,0,0.0,-0.02427376663395881
T89,Epithelial cell,CAGE1,349,0,0.0,-0.024273766633958815
T89,Macrophage,CAGE1,303,0,0.0,-0.024273766633958818
T89,Natural killer (NK) cell,CAGE1,187,0,0.0,-0.024273766633958818
T89,Microglial cell,CAGE1,412,1,0.0024271844660194173,5.6994935541084804e-05
T89,Migration phase fetal germ cell,CAGE1,52,0,0.0,-0.02427376663395881
T89,Fibroblast,CAGE1,453,0,0.0,-0.024273766633958815
T89,Dendritic cell,CAGE1,467,1,0.0021413276231263384,-0.0028085123156848107
T89,Squamous cell,CAGE1,57,0,0.0,-0.024273766633958818
T89,Decidual cell,CAGE1,160,0,0.0,-0.024273766633958815
T89,Plasmacytoid dendritic cell,CAGE1,362,1,0.0027624309392265192,0.0034175973622675923
T89,Endothelial cell,CAGE1,124,0,0.0,-0.024273766633958818
T89,Basophil,CAGE1,81,0,0.0,-0.024273766633958815
T89,Granulocyte-monocyte progenitor,CAGE1,8,0,0.0,-0.024273766633958818
T89,CD4+ T cell,COX6B2,755,0,0.0,-0.03952831990748423
T89,T cell,COX6B2,1365,2,0.0014652014652014652,-0.02481838830322418
T89,B cell,COX6B2,232,0,0.0,-0.039528319907484226
