Gene family,Family member
MAGEA,MAGEA1
MAGEA,MAGEA2
MAGEA,MAGEA3
MAGEA,MAGEA4
MAGEA,MAGEA5
MAGEA,MAGEA6
MAGEA,MAGEA8
MAGEA,MAGEA9
MAGEA,MAGEA10
MAGEA,MAGEA11
MAGEA,MAGEA12
BAGE,BAGE
BAGE,BAGE2
BAGE,BAGE3
BAGE,BAGE4
BAGE,BAGE5
MAGEB,MAGEB1
MAGEB,MAGEB2
MAGEB,MAGEB5
MAGEB,MAGEB6
MAGEB,MAGEB3
MAGEB,MAGEB4
GAGE,GAGE1
GAGE,GAGE2A
GAGE,GAGE3
GAGE,GAGE4
GAGE,GAGE5
GAGE,GAGE6
GAGE,GAGE7
GAGE,GAGE8
SSX,SSX1
SSX,SSX2
SSX,SSX2b
SSX,SSX3
SSX,SSX4
NY-ESO-1,CTAG1B
NY-ESO-1,LAGE-1b
NY-ESO-1,CTAG2
MAGEC1,MAGEC1
MAGEC1,MAGEC3
SYCP1,SYCP1
BRDT,BRDT
MAGEC2,MAGEC2
SPANX,SPANXA1
SPANX,SPANXB1
SPANX,SPANXC
SPANX,SPANXD
SPANX,SPANXN1
SPANX,SPANXN2
SPANX,SPANXN3
SPANX,SPANXN4
SPANX,SPANXN5
XAGE,XAGE1D
XAGE,XAGE1C
XAGE,XAGE1B
XAGE,XAGE1
XAGE,XAGE2
XAGE,XAGE3
XAGE,XAGE-3b
XAGE,XAGE5
HAGE,DDX43
SAGE,SAGE1
ADAM2,ADAM2
PAGE-5,PAGE5
PAGE-5,CT16.2
PAGE-5,PAGE1
PAGE-5,PAGE2
PAGE-5,PAGE2B
PAGE-5,PAGE3
PAGE-5,PAGE4
LIPI,LIPI
NA88A pseudogene,VENTXP1
IL13RA,IL13RA2
TSP50,TSP50
CTAGE-1,CTAGE1
CTAGE-1,CTAGE-2
CTAGE-1,CTAGE5
SPA17,SPA17
ACRBP,ACRBP
CSAGE,CSAG1
CSAGE,CSAG2
MMA1,DSCR8
MMA1,MMA1b
CAGE,DDX53
BORIS,CTCFL
HOM-TES-85,LUZP4
AF15q14,CASC5
HCA661,TFDP3
JARID1B,JARID1B
LDHC,LDHC
MORC,MORC1
SGY-1,DKKL1
SPO11,SPO11
TPX1,CRISP2
NY-SAR-35,FMR1NB
FTHL17,FTHL17
NXF2,NXF2
TAF7L,TAF7L
TDRD1,TDRD1
TDRD1,TDRD6
TDRD,TDRD4
TEX15,TEX15
FATE,FATE1
TPTE,TPTE
CT45,CT45A1
CT45,CT45A2
CT45,CT45A3
CT45,CT45A4
CT45,CT45A5
CT45,CT45A6
HORMAD1,HORMAD1
HORMAD,HORMAD2
CT47,CT47A1
CT47,CT47A2
CT47,CT47A3
CT47,CT47A4
CT47,CT47A5
CT47,CT47A6
CT47,CT47A7
CT47,CT47A8
CT47,CT47A9
CT47,CT47A10
CT47,CT47A11
CT47,CT47B1
SLCO6A1,SLCO6A1
TAG,TAG
LEMD1,LEMD1
HSPB9,HSPB9
CCDC110,CCDC110
ZNF165,ZNF165
SPACA3,SPACA3
CXorf48,CXorf48
THEG,THEG
ACTL8,ACTL8
NLRP4,NLRP4
COX6B2,COX6B2
LOC348120,LOC348120
CCDC33,CCDC33
LOC196993,LOC196993
PASD1,PASD1
LOC647107,LOC647107
TULP2,TULP2
CT66,CT66
PRSS54,PRSS54
RBM46,RBM46
CT69,CT69
CT70,CT70
SPINLW1,SPINLW1
TSSK6,TSSK6
ADAM29,ADAM29
CCDC36,CCDC36
LOC440934,LOC440934
SYCE1,SYCE1
CPXCR1,CPXCR1
TSPY1,TSPY3
TSGA10,TSGA10
PIWIL,"HIWI, MIWI, PIWI"
PIWIL,PIWIL2
ARMC3,ARMC3
AKAP3,AKAP3
Cxorf61,Cxorf61
PBK,PBK
C21orf99,C21orf99
OIP5,OIP5
CEP290,CEP290
CABYR,CABYR
SPAG9,SPAG9
MPHOSPH1,MPHOSPH1
ROPN1,ROPN1
PLAC1,PLAC1
CALR3,CALR3
PRM,PRM1
PRM,PRM2
CAGE1,CAGE1
CT96,TTK
LY6K,LY6K
IMP-3,IMP-3
AKAP4,AKAP4
DPPA2,DPPA2
KIAA0100,KIAA0100
DCAF12,DCAF12
SEMG1,SEMG1
POTE,POTED
POTE,POTEE
POTE,POTEA
POTE,POTEG
POTE,POTEB
POTE,POTEC
POTE,POTEH
GOLGAGL2 FA,GOLGAGL2 FA
CDCA1,CDCA1
PEPP2,PEPP2
OTOA,OTOA
CCDC62,CCDC62
GPATCH2,GPATCH2
CEP55,CEP55
FAM46D,FAM46D
TEX14,TEX14
CTNNA2,CTNNA2
FAM133A,FAM133A
LYPD6B,LOC130576
ANKRD45,ANKRD45
ELOVL4,ELOVL4
IGSF11,IGSF11
TMEFF,TMEFF1
TMEFF,TMEFF2
ARX,ARX
SPEF2,SPEF2
GPAT2,GPAT2
TMEM108,TMEM108
NOL4,NOL4
PTPN20A,PTPN20A
SPAG4,SPAG4
MAEL,MAEL
RQCD1,RQCD1
PRAME,PRAME
TEX101,TEX101
SPATA19,SPATA19
ODF1,ODF1
ODF2,ODF2
ODF3,ODF3
ODF4,ODF4
ATAD2,ATAD2
ZNF645,ZNF645
KIF2C,MCAK
SPAG1,SPAG1
SPAG6,SPAG6
SPAG8,SPAG8
SPAG17,SPAG17
FBXO39,FBXO39
RGS22,RGS22
cylin A,cyclin A1
KP-OVA52,C15orf60
CCDC83,CCDC83
TEKT,TEKT5
NR6A1,NR6A1
TMPRSS12,TMPRSS12
TPPP2,TPPP2
PRSS55,PRSS55
DMRT1,DMRT1
HEMGN,"EDAG, NDR"
DNAJB8,DNAJB8
CSAGE,CSAG3B
NY-ESO-1,CTAG1A
GAGE,GAGE12B
GAGE,GAGE12C
GAGE,GAGE12D
GAGE,GAGE12E
GAGE,GAGE12F
GAGE,GAGE12G
GAGE,GAGE12H
GAGE,GAGE12I
GAGE,GAGE12J
GAGE,GAGE13
TSPY1,LOC728137
MAGEA,MAGEA2B
MAGEA,MAGEA9B
NXF2,NXF2B
SPANX,SPANXA2
SPANX,SPANXB2
SPANX,SPANXE
SSX,SSX4B
SSX,SSX5
SSX,SSX6
SSX,SSX7
SSX,SSX9
TSPY1,TSPY1D
TSPY1,TSPY1E
TSPY1,TSPY1F
TSPY1,TSPY1G
TSPY1,TSPY1H
TSPY1,TSPY1I
TSPY1,TSPY2
XAGE,XAGE1E
XAGE,XAGE2B
