,tissue_class,tissue_type,cancer_type,cell_type,cell_state,full_cell_name,marker,Symbol,Genetype,sex,,,,,
1,Kidney,Fetal kidney,Normal cell,Epithelial cell,Collecting duct & Ureteric Bud cell,Renal epithelial cell,KRT8,KRT8,protein_coding,Both,,Blood,Cancer cell,Epithelial cell,Epithelial cell
2,Testis,Testis,Normal cell,Reproductive cell,Spermatogonial cell,Spermatogonia,UTF1,UTF1,protein_coding,Male,,Blood,Normal cell,Neural cell,Neuron
4,Testis,Testis,Normal cell,Reproductive cell,Spermatogonial cell,Spermatogonia,PLZF,ZBTB16,protein_coding,Male,,Blood,Normal cell,Progenitor cell,Neural stem cell
6,Testis,Testis,Normal cell,Reproductive cell,Testis somatic cell,Testis somatic cell,THY1,THY1,protein_coding,Male,,Peripheral blood,Cancer cell,Immune cell,Hematopoietic progenitor cell
8,Testis,Testis,Normal cell,Reproductive cell,Somatic cell,Testis somatic cell,VIM,VIM,protein_coding,Male,,Peripheral blood,Normal cell,Epithelial cell,Gastric epithelial cell
9,Testis,Testis,Normal cell,Endothelial cell,Endothelial cell,Endothelial cell,HES1,HES1,protein_coding,Male,,Pluripotent stem cell,Normal cell,Fibroblast,Fibroblast
11,Suprarenal gland,Adrenal gland,Cancer cell,Mesenchymal cell,Mesenchymal cell,Mesenchymal cell,COL12A1,COL12A1,protein_coding,Both,,Pluripotent stem cell,Normal cell,Immune cell,Microglial cell
12,Blood,Peripheral blood,Normal cell,Immune cell,Plasmacytoid dendritic cell(pDC),Plasmacytoid dendritic cell,CD45,PTPRC,protein_coding,Both,,Pluripotent stem cell,Normal cell,Neural cell,Neuron
13,Blood,Peripheral blood,Normal cell,Immune cell,Effector memory T cell,T cell,CD57,B3GAT1,protein_coding,Both,,Pluripotent stem cell,Normal cell,Neural cell,Sensory neuron
14,Blood,Peripheral blood,Normal cell,Immune cell,Regulatory T (Treg) cell,T cell,B3GNT2,B3GNT2,protein_coding,Both,,Embryonic heart,Normal cell,Neural cell,Neuron
15,Blood,Peripheral blood,Normal cell,Immune cell,T cell,T cell,CD272,BTLA,protein_coding,Both,,Fetal kidney,Normal cell,Erythroid cell,MK/eryth cell
16,Blood,Peripheral blood,Normal cell,Immune cell,Regulatory T (Treg) cell,T cell,CCDC141,CCDC141,protein_coding,Both,,Fetal liver,Normal cell,Immune cell,Hematopoietic progenitor cell
17,Blood,Peripheral blood,Normal cell,Immune cell,Regulatory T (Treg) cell,T cell,CD101,CD101,protein_coding,Both,,Prostate,Cancer cell,Neural cell,Neuron
18,Placenta,Placenta,Normal cell,Trophoblastic cell,Placental tissue cell,Trophoblast cell,FLT1,FLT1,protein_coding,Female,,Testis,Normal cell,Contractile cell,Myoid cell
19,Kidney,Kidney,Normal cell,Immune cell,Mast cell,Mast cell,RAB34,RAB34,protein_coding,Both,,Testis,Normal cell,Contractile cell,Peritubular myoid cell
20,Kidney,Kidney,Normal cell,Immune cell,Mast cell,Mast cell,RHBDD2,RHBDD2,protein_coding,Both,,Endometrium,Cancer cell,Immune cell,T cell
21,Kidney,Kidney,Normal cell,Immune cell,Mast cell,Mast cell,C1orf186,RHEX,protein_coding,Both,,,,,
22,Kidney,Kidney,Normal cell,Immune cell,Mast cell,Mast cell,RNF130,RNF130,protein_coding,Both,,,,,
23,Kidney,Kidney,Normal cell,Immune cell,Mast cell,Mast cell,SIGLEC8,SIGLEC8,protein_coding,Both,,,,,
24,Kidney,Fetal kidney,Normal cell,Epithelial cell,Developing nephron,Renal epithelial cell,UPK1A,UPK1A,protein_coding,Both,,,,,
25,Kidney,Fetal kidney,Normal cell,Erythroid cell,Megakaryocyte,Megakaryocyte,CTSW,CTSW,protein_coding,Both,,,,,
26,Ovary,Ovary,Normal cell,Smooth muscle cell,Smooth muscle cell,Smooth muscle cell,ADIRF,ADIRF,protein_coding,Female,,,,,
27,Ovary,Ovary,Normal cell,Smooth muscle cell,Smooth muscle cell,Smooth muscle cell,CRYAB,CRYAB,protein_coding,Female,,,,,
28,Kidney,Fetal kidney,Normal cell,Erythroid cell,Megakaryocyte,Megakaryocyte,FYB,FYB1,protein_coding,Both,,,,,
29,Blood,Blood,Normal cell,Immune cell,Hematopoietic stem cell,Hematopoietic stem cell,MECOM,MECOM,protein_coding,Both,,,,,
30,Embryo,Embryo,Normal cell,Neural cell,Neural progenitor cell,Neural cell,CDH6,CDH6,protein_coding,Both,,,,,
31,Blood,Blood,Normal cell,Immune cell,Activated B cell,B cell,CD19,CD19,protein_coding,Both,,,,,
32,Blood,Blood,Normal cell,Immune cell,Activated B cell,B cell,CD27,CD27,protein_coding,Both,,,,,
33,Blood,Peripheral blood,Normal cell,Immune cell,Regulatory B(Breg) cell,B cell,IL-10,IL10,protein_coding,Both,,,,,
34,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,CD25,IL2RA,protein_coding,Both,,,,,
35,Blood,Peripheral blood,Normal cell,Immune cell,Naive CD4+ T cell,CD4 T cell,C1orf162,C1orf162,protein_coding,Both,,,,,
36,Blood,Blood,Normal cell,Immune cell,Activated memory B cell,B cell,AICDA,AICDA,protein_coding,Both,,,,,
38,Blood,Blood,Normal cell,Immune cell,Activated memory B cell,B cell,CD86,CD86,protein_coding,Both,,,,,
39,Blood,Blood,Normal cell,Immune cell,Activated memory B cell,B cell,DHRS9,DHRS9,protein_coding,Both,,,,,
40,Blood,Blood,Normal cell,Immune cell,Activated memory B cell,B cell,FCER1G,FCER1G,protein_coding,Both,,,,,
41,Blood,Blood,Normal cell,Immune cell,Activated memory B cell,B cell,FCRL4,FCRL4,protein_coding,Both,,,,,
