,tissue_class,tissue_type,cancer_type,cell_type,cell_state,full_cell_name,marker,Symbol,Genetype,sex
0,Peritoneal fluid,Peritoneal fluid,Normal cell,Generic,Activated cell,Activated cell,CD38,CD38,protein_coding,Both
1,Kidney,Adrenal gland,Normal cell,Endocrine cell,Adrenal gland cell,Adrenal gland cell,CYP11B2,CYP11B2,protein_coding,Both
2,Suprarenal gland,Adrenal gland,Cancer cell,Endocrine cell,Adrenal medulla cell,Adrenal medulla cell,CHGA,CHGA,protein_coding,Both
3,Suprarenal gland,Adrenal gland,Normal cell,Endocrine cell,Adrenal medulla cell,Adrenal medulla cell,CHGA,CHGA,protein_coding,Both
4,Suprarenal gland,Adrenal gland,Normal cell,Endocrine cell,Adrenal medulla cell,Adrenal medulla cell,CHGB,CHGB,protein_coding,Both
5,Suprarenal gland,Adrenal gland,Cancer cell,Endocrine cell,Adrenal medulla cell,Adrenal medulla cell,CHGB,CHGB,protein_coding,Both
6,Suprarenal gland,Adrenal gland,Cancer cell,Endocrine cell,Adrenal medulla cell,Adrenal medulla cell,DBH,DBH,protein_coding,Both
7,Suprarenal gland,Adrenal gland,Normal cell,Endocrine cell,Adrenal medulla cell,Adrenal medulla cell,DBH,DBH,protein_coding,Both
8,Suprarenal gland,Adrenal gland,Normal cell,Endocrine cell,Adrenal medulla cell,Adrenal medulla cell,PNMT,PNMT,protein_coding,Both
9,Suprarenal gland,Adrenal gland,Normal cell,Endocrine cell,Adrenal medulla cell,Adrenal medulla cell,TH,TH,protein_coding,Both
10,Suprarenal gland,Adrenal gland,Cancer cell,Endocrine cell,Adrenal medulla cell,Adrenal medulla cell,TH,TH,protein_coding,Both
11,Placenta,Placenta,Normal cell,Epithelial cell,Amnion-like cell,Amnion-like cell,HEY1,HEY1,protein_coding,Female
12,Blood,Peripheral blood,Normal cell,Immune cell,Antibody-secreting cell,Antibody-secreting cell,CD19,CD19,protein_coding,Both
13,Blood,Peripheral blood,Normal cell,Immune cell,Antibody-secreting cell,Antibody-secreting cell,CD38,CD38,protein_coding,Both
14,Blood,Peripheral blood,Normal cell,Immune cell,Antibody-secreting cell,Antibody-secreting cell,CD81,CD81,protein_coding,Both
15,Blood,Peripheral blood,Normal cell,Immune cell,Antibody-secreting cell,Antibody-secreting cell,CD39,ENTPD1,protein_coding,Both
16,Blood,Peripheral blood,Normal cell,Immune cell,Antibody-secreting cell,Antibody-secreting cell,CD130,IL6ST,protein_coding,Both
17,Blood,Peripheral blood,Normal cell,Immune cell,Antibody-secreting cell,Antibody-secreting cell,CD138,SDC1,protein_coding,Both
18,Ovary,Ovary,Cancer cell,Immune cell,Antigen-presenting cell,Antigen-presenting cell,CD207,CD207,protein_coding,Female
19,Kidney,Kidney,Normal cell,Immune cell,Antigen-presenting cell,Antigen-presenting cell,FCER1A,FCER1A,protein_coding,Both
20,Kidney,Kidney,Normal cell,Immune cell,Antigen-presenting cell,Antigen-presenting cell,HLA-DPB1,HLA-DPB1,protein_coding,Both
21,Kidney,Kidney,Normal cell,Immune cell,Antigen-presenting cell,Antigen-presenting cell,HLA-DRA,HLA-DRA,protein_coding,Both
22,Kidney,Kidney,Normal cell,Immune cell,Antigen-presenting cell,Antigen-presenting cell,MS4A7,MS4A7,protein_coding,Both
23,Kidney,Kidney,Normal cell,Immune cell,Antigen-presenting cell,Antigen-presenting cell,PTPRC,PTPRC,protein_coding,Both
24,Kidney,Embryonic Kidney,Normal cell,Vascular cell,Artery cell,Artery cell,CXCR4,CXCR4,protein_coding,Both
25,Kidney,Embryonic Kidney,Normal cell,Vascular cell,Artery cell,Artery cell,DLL4,DLL4,protein_coding,Both
26,Liver,Fetal liver,Normal cell,Vascular cell,Artery cell,Artery cell,ITGA2,ITGA2,protein_coding,Both
27,Liver,Fetal liver,Normal cell,Vascular cell,Artery cell,Artery cell,ITGB4,ITGB4,protein_coding,Both
28,Kidney,Embryonic Kidney,Normal cell,Vascular cell,Artery cell,Artery cell,NOTCH4,NOTCH4,protein_coding,Both
