,source,target
0,Activated cell,CD38
1,Adrenal gland cell,CYP11B2
2,Adrenal medulla cell,CHGA
3,Adrenal medulla cell,CHGA
4,Adrenal medulla cell,CHGB
5,Adrenal medulla cell,CHGB
6,Adrenal medulla cell,DBH
7,Adrenal medulla cell,DBH
8,Adrenal medulla cell,PNMT
9,Adrenal medulla cell,TH
10,Adrenal medulla cell,TH
11,Amnion-like cell,HEY1
12,Antibody-secreting cell,CD19
13,Antibody-secreting cell,CD38
14,Antibody-secreting cell,CD81
15,Antibody-secreting cell,ENTPD1
16,Antibody-secreting cell,IL6ST
17,Antibody-secreting cell,SDC1
18,Antigen-presenting cell,CD207
19,Antigen-presenting cell,FCER1A
20,Antigen-presenting cell,HLA-DPB1
21,Antigen-presenting cell,HLA-DRA
22,Antigen-presenting cell,MS4A7
23,Antigen-presenting cell,PTPRC
24,Artery cell,CXCR4
25,Artery cell,DLL4
26,Artery cell,ITGA2
27,Artery cell,ITGB4
28,Artery cell,NOTCH4
29,Astrocyte,GFAP
30,Astroglial progenitor cell,PBXIP1
31,B cell,CD19
32,B cell,CD27
33,B cell,CD5
34,B cell,CD69
35,B cell,TAGLN2
36,B cell,AICDA
37,B cell,CD27
38,B cell,CD86
39,B cell,DHRS9
40,B cell,FCER1G
41,B cell,FCRL4
42,B cell,HES4
43,B cell,ITGAX
44,B cell,KREMEN2
45,B cell,POU4F1
46,B cell,STAC3
47,B cell,TBX21
48,B cell,ZEB2
49,B cell,ITGAX
50,B cell,CD19
51,B cell,FCRL5
52,B cell,CD27
53,B cell,CD38
54,B cell,CD72
55,B cell,FCRL5
56,B cell,ITGAX
57,B cell,LILRB2
58,B cell,CD19
59,B cell,CD19
60,B cell,CD27
61,B cell,CR2
62,B cell,FCRL5
63,B cell,MME
64,B cell,MS4A1
65,B cell,MS4A1
66,B cell,46271
67,B cell,ABCB4
68,B cell,ABCB4
69,B cell,ABCB9
70,B cell,ABHD10
71,B cell,ACAD10
72,B cell,ACBD3
73,B cell,ACP5
74,B cell,ACSM2A
75,B cell,ACSM2B
76,B cell,ACSM3
77,B cell,ADAM19
78,B cell,ADAM28
79,B cell,ADAM28
80,B cell,ADAM28
81,B cell,AFF3
82,B cell,AFF3
83,B cell,AFF4
84,B cell,AHCYL1
85,B cell,AHNAK
86,B cell,AICDA
87,B cell,AIDA
88,B cell,AIDA
89,B cell,AIM2
90,B cell,AIM2
91,B cell,AIM2
92,B cell,AKAP12
93,B cell,AKAP8L
94,B cell,AKR1C1
95,B cell,ALG14
96,B cell,ALG8
97,B cell,ALKBH7
98,B cell,ALPL
99,B cell,AMN1
100,B cell,AMT
101,B cell,ANAPC5
102,B cell,ANK2
103,B cell,ANKHD1
104,B cell,ANKRD13A
105,B cell,ANKRD13A
106,B cell,ANKRD44
107,B cell,AP1B1
108,B cell,AP1S3
109,B cell,APOM
110,B cell,APPL1
111,B cell,AQP7
112,B cell,ARHGAP24
113,B cell,ARHGAP24
114,B cell,ARID5B
115,B cell,ARID5B
116,B cell,ARL3
117,B cell,ARSA
118,B cell,ASB13
119,B cell,ASB15
120,B cell,ATF7IP2
121,B cell,ATG101
122,B cell,ATP2A3
123,B cell,ATP2B1
124,B cell,ATP2B1
125,B cell,ATP6V0A1
126,B cell,ATRX
127,B cell,AVP
128,B cell,B2M
129,B cell,B3GALT6
130,B cell,BACH2
131,B cell,BACH2
132,B cell,BACH2
133,B cell,BAK1
134,B cell,BANK1
135,B cell,BANK1
136,B cell,BANK1
137,B cell,BANK1
138,B cell,BANK1
139,B cell,BANK1
140,B cell,BASP1
141,B cell,BCAS4
142,B cell,BCAS4
143,B cell,BCL11A
144,B cell,BCL11A
145,B cell,BCL11A
146,B cell,BCL2L11
147,B cell,BCL6
148,B cell,BCL7A
149,B cell,BCL7A
150,B cell,BEND5
151,B cell,BEND5
152,B cell,BET1L
153,B cell,BHLHE41
154,B cell,BICD1
155,B cell,BIRC3
156,B cell,BIRC3
157,B cell,BLK
158,B cell,BLK
159,B cell,BLNK
160,B cell,BLNK
161,B cell,BLNK
162,B cell,BLNK
164,B cell,BMP2K
165,B cell,BMP8B
166,B cell,BTK
167,B cell,BTLA
168,B cell,BTLA
169,B cell,BTNL9
170,B cell,C11orf24
171,B cell,C12orf42
172,B cell,C16orf74
173,B cell,C16orf74
174,B cell,C16orf87
175,B cell,C17orf67
176,B cell,C1GALT1
177,B cell,C2orf88
178,B cell,CA2
179,B cell,CACNB4
180,B cell,CALB1
181,B cell,CALR
182,B cell,CAMK1D
183,B cell,CAPG
184,B cell,CARMIL1
185,B cell,CASP2
186,B cell,CAV1
187,B cell,CBFA2T3
188,B cell,CBWD5
189,B cell,CBX7
190,B cell,CCDC191
191,B cell,CCDC191
192,B cell,CCDC32
193,B cell,CCDC50
194,B cell,CCDC81
195,B cell,CCN2
196,B cell,CCNB1
197,B cell,CCNB1IP1
198,B cell,CCNI
199,B cell,CCR10
200,B cell,CCR6
201,B cell,CCR7
202,B cell,CCR7
203,B cell,CCR7
204,B cell,CCS
205,B cell,CCSER1
206,B cell,CD14
207,B cell,CD14
208,B cell,CD14
209,B cell,CD180
210,B cell,CD19
211,B cell,CD19
212,B cell,CD19
213,B cell,CD19
214,B cell,CD19
215,B cell,CD19
216,B cell,CD19
217,B cell,CD19
218,B cell,CD19
219,B cell,CD19
220,B cell,CD19
221,B cell,CD19
223,B cell,CD1C
224,B cell,CD200
225,B cell,CD200
226,B cell,CD22
227,B cell,CD22
228,B cell,CD22
229,B cell,CD22
230,B cell,CD22
231,B cell,CD24
232,B cell,CD24
233,B cell,CD24
234,B cell,CD24
235,B cell,CD24
236,B cell,CD24
237,B cell,CD27
238,B cell,CD27
239,B cell,CD27
240,B cell,CD27
241,B cell,CD28
242,B cell,CD37
243,B cell,CD37
