,tissue_class,tissue_type,original_name,source,Lineage,Cell_Category,cell_fine_category,source,target,Genetype,Sex
13,Bladder,Bladder,Fibroblast,Fibroblast,Mesoderm,Mesenchymal cell,Fibroblast,Normal cell,DCN,protein_coding,Both
14,Bladder,Bladder,Fibroblast,Fibroblast,Mesoderm,Mesenchymal cell,Fibroblast,Normal cell,PLA2G2A,protein_coding,Both
38,Blood,Blood,Axl+ CD11c+ Plasmacytoid dendritic cell (CD11c+ Axl+DC),Plasmacytoid dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,CD5,protein_coding,Both
39,Blood,Blood,Axl+ CD11c+ Plasmacytoid dendritic cell (CD11c+ Axl+DC),Plasmacytoid dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,CD33,protein_coding,Both
40,Blood,Blood,Axl+ CD11c+ Plasmacytoid dendritic cell (CD11c+ Axl+DC),Plasmacytoid dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,CD2,protein_coding,Both
41,Blood,Blood,Axl+ CD123+ Plasmacytoid dendritic cell (CD123+ Axl+DC),Plasmacytoid dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,CLEC4C,protein_coding,Both
42,Blood,Blood,Axl+ CD123+ Plasmacytoid dendritic cell (CD123+ Axl+DC),Plasmacytoid dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,IL3RA,protein_coding,Both
43,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,SUCLA2,protein_coding,Both
44,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,CEP95,protein_coding,Both
45,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,RAD1,protein_coding,Both
46,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,ALDH2,protein_coding,Both
47,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,SLC35C2,protein_coding,Both
