,Reference,source,target,Sex,Detail
0,fetal_gonad,Sertoli cell,AMH,Male,
1,fetal_gonad,Sertoli cell,SOX9,Male,
2,fetal_gonad,Sertoli cell,GATM,Male,
3,fetal_gonad,Sertoli cell,DMRT1,Male,
4,fetal_gonad,Endothelial cell,PECAM1,Male,
5,fetal_gonad,Smooth muscle cell,RGS5,Male,
6,fetal_gonad,Mixed Germ cell,POUF1,Male,
7,fetal_gonad,Mixed Germ cell,DDX4,Male,
8,fetal_gonad,Immune cell,CD53,Male,
9,fetal_gonad,Epithelial rete testis cell,PAX8,Male,
10,fetal_gonad,Epithelial rete testis cell,KRT19,Male,
11,fetal_gonad,Epithelial rete testis cell,PCP4,Male,
12,fetal_gonad,Epithelial mesonephroi/epididymis,EPCAM,Male,
13,fetal_gonad,Epithelial mesonephroi/epididymis,ANXA2,Male,
14,fetal_gonad,Stromal mesonephroi/epididymis,NR2F2,Male,"ARX-, GATA4-"
15,fetal_gonad,Stromal mesonephroi/epididymis,DLK1,Male,
16,fetal_gonad,Stromal mesonephroi/epididymis,PDGFRA,Male,
17,fetal_gonad,Stromal testis cell,NR2F2,Male,
18,fetal_gonad,Stromal testis cell,DLK1,Male,
19,fetal_gonad,Stromal testis cell,PDGFRA,Male,
20,fetal_gonad,Stromal testis cell,ARX,Male,
21,fetal_gonad,Stromal testis cell,GATA4,Male,
22,fetal_gonad,Leydig cell,CYP17A1,Male,
23,fetal_gonad,Leydig cell,INSL3,Male,
24,fetal_gonad,Epithelial cells of the MTs and WD,LHX1,Male,
25,fetal_gonad,Epithelial cells of the MTs and WD,PAX2,Male,
26,fetal_gonad,Secretory tubules,AQP3,Male,
27,fetal_gonad,Secretory tubules,CALB2,Male,
28,fetal_gonad,Secretory tubules, GJA1,Male,
29,fetal_gonad,Secretory tubules,CDH2,Male,
30,fetal_gonad,Secretory tubules,AMH,Male,
31,fetal_gonad,Proliferating Sertoli cell,MKI67,Male,
32,fetal_gonad,Stromal cell,PDGFRA,Female,
33,fetal_gonad,Gonadal stromal cell,PDGFRA,Female,
34,fetal_gonad,Gonadal stromal cell,GATA4,Female,
35,fetal_gonad,Gonadal stromal cell,ARX,Female,
36,fetal_gonad,mesonephric/fallopian tube stromal cell,PDGFRA,Female,
37,fetal_gonad,mesonephric/fallopian tube stromal cell,GATA2,Female,
38,fetal_gonad,ovarian surface epithelium cells,WT1,Female,
39,fetal_gonad,pre-granulosa cells,GATM,Female,
40,fetal_gonad,"female mesonephros,",ANXA2 ,Female,
41,fetal_gonad,"female mesonephros,",ANXA5,Female,
42,fetal_gonad,ovary,ANXA1,Female,
43,fetal_gonad,ovary,ANXA3 ,Female,
44,embryos_mixed,Mitotic FGC,POUFF1,Both,
45,embryos_mixed,Mitotic FGC,NANOG1,Both,
46,embryos_mixed,Mitotic FGC,DAZL,Both,
47,embryos_mixed,Mitotic FGC,DDX4,Both,
48,embryos_mixed,meiotic prophase FGCs,LIN28A,Female,
49,embryos_mixed,meiotic prophase FGCs,SALL4,Female,
50,embryos_mixed,meiotic prophase FGCs,DPPA5,Female,
51,embryos_mixed,meiotic prophase FGCs,RDM14,Female,
52,embryos_mixed,meiotic prophase FGCs, TFAP2C,Female,
53,embryos_mixed,meiotic prophase FGCs, WNT3,Female,
54,embryos_mixed,meiotic prophase FGCs, NANOS3,Female,
55,embryos_mixed,meiotic prophase FGCs, DPPA3,Female,
56,embryos_mixed,meiotic prophase FGCs, SOX17,Female,
57,embryos_mixed,retinoid acid (RA) signaling-responsive FGCs,STRA8,Female,
58,embryos_mixed,meiotic prophase FGCs,SYCP1,Female,
59,embryos_mixed,meiotic prophase FGCs,SYCP3,Female,
60,embryos_mixed,meiotic prophase FGCs,SPO11,Female,
61,embryos_mixed,meiotic prophase FGCs,PRDM9,Female,
62,embryos_mixed,Oogenesis stage FGC,ZP3,Female,
63,embryos_mixed,Oogenesis stage FGC, NOBOX,Female,
64,embryos_mixed,Oogenesis stage FGC, OOSP2,Female,
65,embryos_mixed,Oogenesis stage FGC, GDF9,Female,
66,embryos_mixed,Oogenesis stage FGC, JAG1,Female,
67,embryos_mixed,Oogenesis stage FGC,WEE2,Female,
68,embryos_mixed,retinoid acid (RA) signaling-responsive FGCs,ZGLP1,Female,
69,embryos_mixed,retinoid acid (RA) signaling-responsive FGCs,ANHX,Female,
70,embryos_mixed,retinoid acid (RA) signaling-responsive FGCs,ASB9,Female,
71,embryos_mixed,retinoid acid (RA) signaling-responsive FGCs,THRA,Female,
72,embryos_mixed,Oogenesis stage FGC,ZP3,Female,
73,embryos_mixed,Oogenesis stage FGC,OOSP2,Female,
74,embryos_mixed,Granulosa cell,WT1,Female,
75,embryos_mixed,Granulosa cell,FOXL2,Female,
76,embryos_mixed,Endothelial cell,PECAM1,Both,
77,embryos_mixed,Endothelial cell,CDH5,Both,
78,embryos_mixed,Sertoli cell,WT1,Male,
79,embryos_mixed,Sertoli cell,AMH,Male,
80,embryos_mixed,Leydig precursor,ARX,Male,
81,embryos_mixed,Leydig cell,CYP17A1,Male,
82,embryos_mixed,Mitotic arrest,NANOS2,Male,
83,embryos_mixed,Mitotic arrest,CDKN2B,Male,
84,embryos_mixed,Mitotic arrest,CDK6,Male,
